sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
2,1,sample 2 replicate 1,1,0.5,0.0,0.0209,0.0,0.0819
2,1,sample 2 replicate 1,2,0.5,0.05,0.0355,10.0,0.1391
2,1,sample 2 replicate 1,3,0.5,0.1,0.0501,20.0,0.1963
2,1,sample 2 replicate 1,4,0.5,0.15,0.071,30.0,0.2782
2,1,sample 2 replicate 1,5,0.5,0.2,0.0918,40.0,0.3597
2,1,sample 2 replicate 1,6,0.5,0.25,0.1085,50.0,0.4252
2,1,sample 2 replicate 1,7,0.5,0.3,0.1503,60.0,0.5889
2,1,sample 2 replicate 1,8,0.5,0.35,0.2337,70.0,0.9158
2,1,sample 2 replicate 1,9,0.5,0.4,0.3423,80.0,1.3413
2,1,sample 2 replicate 1,10,0.5,0.45,0.4696,90.0,1.8401
2,1,sample 2 replicate 1,11,0.5,0.5,0.6261,100.0,2.4534
2,1,sample 2 replicate 1,12,0.5,0.55,0.8223,110.0,3.2222
2,1,sample 2 replicate 1,13,0.5,0.6,1.0811,120.0,4.2363
2,1,sample 2 replicate 1,14,0.5,0.65,1.392,130.0,5.4545
2,1,sample 2 replicate 1,15,0.5,0.7,1.7093,140.0,6.6979
2,1,sample 2 replicate 1,16,0.5,0.75,2.0766,150.0,8.1371
3,1,sample 3 replicate 1,1,1.4499999999999993,0.0,0.0292,0.0,0.1144
3,1,sample 3 replicate 1,2,1.4499999999999993,0.05,0.0376,3.4483,0.1473
3,1,sample 3 replicate 1,3,1.4499999999999993,0.1,0.048,6.8966,0.1881
3,1,sample 3 replicate 1,4,1.4499999999999993,0.15,0.0563,10.3448,0.2206
3,1,sample 3 replicate 1,5,1.4499999999999993,0.2,0.0626,13.7931,0.2453
3,1,sample 3 replicate 1,6,1.4499999999999993,0.25,0.0647,17.2414,0.2535
3,1,sample 3 replicate 1,7,1.4499999999999993,0.3,0.0856,20.6897,0.3354
3,1,sample 3 replicate 1,8,1.4499999999999993,0.35,0.0939,24.1379,0.3679
3,1,sample 3 replicate 1,9,1.4499999999999993,0.4,0.0939,27.5862,0.3679
3,1,sample 3 replicate 1,10,1.4499999999999993,0.45,0.0897,31.0345,0.3515
3,1,sample 3 replicate 1,11,1.4499999999999993,0.5,0.1002,34.4828,0.3926
3,1,sample 3 replicate 1,12,1.4499999999999993,0.55,0.1023,37.931,0.4009
3,1,sample 3 replicate 1,13,1.4499999999999993,0.6,0.1127,41.3793,0.4416
3,1,sample 3 replicate 1,14,1.4499999999999993,0.65,0.119,44.8276,0.4663
3,1,sample 3 replicate 1,15,1.4499999999999993,0.7,0.1252,48.2759,0.4906
