sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,1,sample 1 replicate 1,1,2.3000000000000007,0.0,0.0167,0.0,0.0654
1,1,sample 1 replicate 1,2,2.3000000000000007,0.05,0.0334,2.1739,0.1309
1,1,sample 1 replicate 1,3,2.3000000000000007,0.1,0.0584,4.3478,0.2288
1,1,sample 1 replicate 1,4,2.3000000000000007,0.15,0.0731,6.5217,0.2864
1,1,sample 1 replicate 1,5,2.3000000000000007,0.2,0.0835,8.6957,0.3272
1,1,sample 1 replicate 1,6,2.3000000000000007,0.25,0.1002,10.8696,0.3926
1,1,sample 1 replicate 1,7,2.3000000000000007,0.3,0.121,13.0435,0.4741
1,1,sample 1 replicate 1,8,2.3000000000000007,0.35,0.1482,15.2174,0.5807
1,1,sample 1 replicate 1,9,2.3000000000000007,0.4,0.1753,17.3913,0.6869
1,1,sample 1 replicate 1,10,2.3000000000000007,0.45,0.2004,19.5652,0.7853
1,1,sample 1 replicate 1,11,2.3000000000000007,0.5,0.217,21.7391,0.8503
1,1,sample 1 replicate 1,12,2.3000000000000007,0.55,0.2317,23.913,0.9079
1,1,sample 1 replicate 1,13,2.3000000000000007,0.6,0.2797,26.087,1.096
1,1,sample 1 replicate 1,14,2.3000000000000007,0.65,0.3235,28.2609,1.2676
1,1,sample 1 replicate 1,15,2.3000000000000007,0.7,0.3402,30.4348,1.3331
1,1,sample 1 replicate 1,16,2.3000000000000007,0.75,0.3548,32.6087,1.3903
1,1,sample 1 replicate 1,17,2.3000000000000007,0.8,0.3736,34.7826,1.4639
1,1,sample 1 replicate 1,18,2.3000000000000007,0.85,0.4299,36.9565,1.6846
1,1,sample 1 replicate 1,19,2.3000000000000007,0.9,0.4445,39.1304,1.7418
1,1,sample 1 replicate 1,20,2.3000000000000007,0.95,0.4758,41.3043,1.8644
1,1,sample 1 replicate 1,21,2.3000000000000007,1.0,0.5134,43.4783,2.0118
1,1,sample 1 replicate 1,22,2.3000000000000007,1.05,0.599,45.6522,2.3472
1,1,sample 1 replicate 1,23,2.3000000000000007,1.1,0.6365,47.8261,2.4941
1,1,sample 1 replicate 1,24,2.3000000000000007,1.15,0.6992,50.0,2.7398
1,1,sample 1 replicate 1,25,2.3000000000000007,1.2,0.7513,52.1739,2.944
1,1,sample 1 replicate 1,26,2.3000000000000007,1.25,0.816,54.3478,3.1975
1,1,sample 1 replicate 1,27,2.3000000000000007,1.3,0.8932,56.5217,3.5
1,1,sample 1 replicate 1,28,2.3000000000000007,1.35,0.9955,58.6957,3.9009
1,1,sample 1 replicate 1,29,2.3000000000000007,1.4,1.0393,60.8696,4.0725
1,1,sample 1 replicate 1,30,2.3000000000000007,1.45,1.1896,63.0435,4.6614
1,1,sample 1 replicate 1,31,2.3000000000000007,1.5,1.2814,65.2174,5.0212
1,1,sample 1 replicate 1,32,2.3000000000000007,1.55,1.4421,67.3913,5.6509
1,1,sample 1 replicate 1,33,2.3000000000000007,1.6,1.6237,69.5652,6.3625
1,1,sample 1 replicate 1,34,2.3000000000000007,1.65,1.8011,71.7391,7.0576
1,1,sample 1 replicate 1,35,2.3000000000000007,1.7,2.0202,73.913,7.9161
1,1,sample 1 replicate 1,36,2.3000000000000007,1.75,2.2957,76.087,8.9957
1,1,sample 1 replicate 1,37,2.3000000000000007,1.8,2.6213,78.2609,10.2716
1,1,sample 1 replicate 1,38,2.3000000000000007,1.85,0.455,80.4348,1.7829
2,1,sample 2 replicate 1,1,2.4499999999999993,0.0,0.0021,0.0,0.0082
2,1,sample 2 replicate 1,2,2.4499999999999993,0.05,0.023,2.0408,0.0901
2,1,sample 2 replicate 1,3,2.4499999999999993,0.1,0.0376,4.0816,0.1473
2,1,sample 2 replicate 1,4,2.4499999999999993,0.15,0.0584,6.1224,0.2288
2,1,sample 2 replicate 1,5,2.4499999999999993,0.2,0.0772,8.1633,0.3025
2,1,sample 2 replicate 1,6,2.4499999999999993,0.25,0.0877,10.2041,0.3437
2,1,sample 2 replicate 1,7,2.4499999999999993,0.3,0.0981,12.2449,0.3844
2,1,sample 2 replicate 1,8,2.4499999999999993,0.35,0.1377,14.2857,0.5396
2,1,sample 2 replicate 1,9,2.4499999999999993,0.4,0.1586,16.3265,0.6215
2,1,sample 2 replicate 1,10,2.4499999999999993,0.45,0.1795,18.3673,0.7034
2,1,sample 2 replicate 1,11,2.4499999999999993,0.5,0.2004,20.4082,0.7853
2,1,sample 2 replicate 1,12,2.4499999999999993,0.55,0.2212,22.449,0.8668
2,1,sample 2 replicate 1,13,2.4499999999999993,0.6,0.2317,24.4898,0.9079
2,1,sample 2 replicate 1,14,2.4499999999999993,0.65,0.2546,26.5306,0.9976
2,1,sample 2 replicate 1,15,2.4499999999999993,0.7,0.3089,28.5714,1.2104
2,1,sample 2 replicate 1,16,2.4499999999999993,0.75,0.3465,30.6122,1.3578
2,1,sample 2 replicate 1,17,2.4499999999999993,0.8,0.359,32.6531,1.4067
2,1,sample 2 replicate 1,18,2.4499999999999993,0.85,0.4111,34.6939,1.6109
2,1,sample 2 replicate 1,19,2.4499999999999993,0.9,0.4258,36.7347,1.6685
2,1,sample 2 replicate 1,20,2.4499999999999993,0.95,0.4758,38.7755,1.8644
2,1,sample 2 replicate 1,21,2.4499999999999993,1.0,0.4884,40.8163,1.9138
2,1,sample 2 replicate 1,22,2.4499999999999993,1.05,0.5259,42.8571,2.0607
2,1,sample 2 replicate 1,23,2.4499999999999993,1.1,0.6094,44.898,2.3879
2,1,sample 2 replicate 1,24,2.4499999999999993,1.15,0.6783,46.9388,2.6579
2,1,sample 2 replicate 1,25,2.4499999999999993,1.2,0.7346,48.9796,2.8785
2,1,sample 2 replicate 1,26,2.4499999999999993,1.25,0.7868,51.0204,3.0831
2,1,sample 2 replicate 1,27,2.4499999999999993,1.3,0.8786,53.0612,3.4428
2,1,sample 2 replicate 1,28,2.4499999999999993,1.35,0.9538,55.102,3.7375
2,1,sample 2 replicate 1,29,2.4499999999999993,1.4,1.0268,57.1429,4.0235
2,1,sample 2 replicate 1,30,2.4499999999999993,1.45,1.1353,59.1837,4.4487
2,1,sample 2 replicate 1,31,2.4499999999999993,1.5,1.2313,61.2245,4.8248
2,1,sample 2 replicate 1,32,2.4499999999999993,1.55,1.4046,63.2653,5.5039
2,1,sample 2 replicate 1,33,2.4499999999999993,1.6,1.5068,65.3061,5.9044
2,1,sample 2 replicate 1,34,2.4499999999999993,1.65,1.7051,67.3469,6.6814
2,1,sample 2 replicate 1,35,2.4499999999999993,1.7,1.7343,69.3878,6.7958
2,1,sample 2 replicate 1,36,2.4499999999999993,1.75,1.8408,71.4286,7.2132
2,1,sample 2 replicate 1,37,2.4499999999999993,1.8,2.0453,73.4694,8.0145
2,1,sample 2 replicate 1,38,2.4499999999999993,1.85,2.302,75.5102,9.0204
2,1,sample 2 replicate 1,39,2.4499999999999993,1.9,0.4341,77.551,1.701
3,1,sample 3 replicate 1,1,2.4499999999999993,0.0,0.0021,0.0,0.0082
3,1,sample 3 replicate 1,2,2.4499999999999993,0.05,0.0271,2.0408,0.1062
3,1,sample 3 replicate 1,3,2.4499999999999993,0.1,0.0397,4.0816,0.1556
3,1,sample 3 replicate 1,4,2.4499999999999993,0.15,0.0731,6.1224,0.2864
3,1,sample 3 replicate 1,5,2.4499999999999993,0.2,0.0835,8.1633,0.3272
3,1,sample 3 replicate 1,6,2.4499999999999993,0.25,0.0918,10.2041,0.3597
3,1,sample 3 replicate 1,7,2.4499999999999993,0.3,0.1064,12.2449,0.4169
3,1,sample 3 replicate 1,8,2.4499999999999993,0.35,0.1398,14.2857,0.5478
3,1,sample 3 replicate 1,9,2.4499999999999993,0.4,0.1649,16.3265,0.6462
3,1,sample 3 replicate 1,10,2.4499999999999993,0.45,0.1878,18.3673,0.7359
3,1,sample 3 replicate 1,11,2.4499999999999993,0.5,0.2108,20.4082,0.826
3,1,sample 3 replicate 1,12,2.4499999999999993,0.55,0.2233,22.449,0.875
3,1,sample 3 replicate 1,13,2.4499999999999993,0.6,0.2379,24.4898,0.9322
3,1,sample 3 replicate 1,14,2.4499999999999993,0.65,0.2651,26.5306,1.0388
3,1,sample 3 replicate 1,15,2.4499999999999993,0.7,0.3151,28.5714,1.2347
3,1,sample 3 replicate 1,16,2.4499999999999993,0.75,0.3423,30.6122,1.3413
3,1,sample 3 replicate 1,17,2.4499999999999993,0.8,0.3548,32.6531,1.3903
3,1,sample 3 replicate 1,18,2.4499999999999993,0.85,0.3861,34.6939,1.5129
3,1,sample 3 replicate 1,19,2.4499999999999993,0.9,0.432,36.7347,1.6928
3,1,sample 3 replicate 1,20,2.4499999999999993,0.95,0.4738,38.7755,1.8566
3,1,sample 3 replicate 1,21,2.4499999999999993,1.0,0.4946,40.8163,1.9381
3,1,sample 3 replicate 1,22,2.4499999999999993,1.05,0.5531,42.8571,2.1673
3,1,sample 3 replicate 1,23,2.4499999999999993,1.1,0.624,44.898,2.4451
3,1,sample 3 replicate 1,24,2.4499999999999993,1.15,0.6845,46.9388,2.6822
3,1,sample 3 replicate 1,25,2.4499999999999993,1.2,0.7472,48.9796,2.9279
3,1,sample 3 replicate 1,26,2.4499999999999993,1.25,0.8265,51.0204,3.2386
3,1,sample 3 replicate 1,27,2.4499999999999993,1.3,0.8974,53.0612,3.5165
3,1,sample 3 replicate 1,28,2.4499999999999993,1.35,0.9997,55.102,3.9173
3,1,sample 3 replicate 1,29,2.4499999999999993,1.4,1.0978,57.1429,4.3017
3,1,sample 3 replicate 1,30,2.4499999999999993,1.45,1.2,59.1837,4.7022
3,1,sample 3 replicate 1,31,2.4499999999999993,1.5,1.3086,61.2245,5.1277
3,1,sample 3 replicate 1,32,2.4499999999999993,1.55,1.4839,63.2653,5.8147
3,1,sample 3 replicate 1,33,2.4499999999999993,1.6,1.6425,65.3061,6.4361
3,1,sample 3 replicate 1,34,2.4499999999999993,1.65,1.7886,67.3469,7.0086
3,1,sample 3 replicate 1,35,2.4499999999999993,1.7,1.9347,69.3878,7.5811
3,1,sample 3 replicate 1,36,2.4499999999999993,1.75,2.0912,71.4286,8.1944
3,1,sample 3 replicate 1,37,2.4499999999999993,1.8,2.3333,73.4694,9.143
3,1,sample 3 replicate 1,38,2.4499999999999993,1.85,2.6547,75.5102,10.4024
3,1,sample 3 replicate 1,39,2.4499999999999993,1.9,0.4111,77.551,1.6109
1,2,sample 1 replicate 2,1,2.4499999999999993,0.0,0.0188,0.0,0.0737
1,2,sample 1 replicate 2,2,2.4499999999999993,0.05,0.0313,2.0408,0.1226
1,2,sample 1 replicate 2,3,2.4499999999999993,0.1,0.0605,4.0816,0.2371
1,2,sample 1 replicate 2,4,2.4499999999999993,0.15,0.0814,6.1224,0.319
1,2,sample 1 replicate 2,5,2.4499999999999993,0.2,0.1607,8.1633,0.6297
1,2,sample 1 replicate 2,6,2.4499999999999993,0.25,0.217,10.2041,0.8503
1,2,sample 1 replicate 2,7,2.4499999999999993,0.3,0.2943,12.2449,1.1532
1,2,sample 1 replicate 2,8,2.4499999999999993,0.35,0.3569,14.2857,1.3985
1,2,sample 1 replicate 2,9,2.4499999999999993,0.4,0.4383,16.3265,1.7175
1,2,sample 1 replicate 2,10,2.4499999999999993,0.45,0.4946,18.3673,1.9381
1,2,sample 1 replicate 2,11,2.4499999999999993,0.5,0.6052,20.4082,2.3715
1,2,sample 1 replicate 2,12,2.4499999999999993,0.55,0.6845,22.449,2.6822
1,2,sample 1 replicate 2,13,2.4499999999999993,0.6,0.7555,24.4898,2.9604
1,2,sample 1 replicate 2,14,2.4499999999999993,0.65,0.8494,26.5306,3.3284
1,2,sample 1 replicate 2,15,2.4499999999999993,0.7,0.9162,28.5714,3.5901
1,2,sample 1 replicate 2,16,2.4499999999999993,0.75,1.0268,30.6122,4.0235
1,2,sample 1 replicate 2,17,2.4499999999999993,0.8,1.127,32.6531,4.4161
1,2,sample 1 replicate 2,18,2.4499999999999993,0.85,1.0206,34.6939,3.9992
1,2,sample 1 replicate 2,19,2.4499999999999993,0.9,1.1145,36.7347,4.3672
1,2,sample 1 replicate 2,20,2.4499999999999993,0.95,1.1917,38.7755,4.6697
