sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,4,sample 4 replicate 4,1,2.349999999999998,0.0,0.0063,0.0,0.0247
4,4,sample 4 replicate 4,2,2.349999999999998,0.05,0.0334,2.1277,0.1309
4,4,sample 4 replicate 4,3,2.349999999999998,0.1,0.0835,4.2553,0.3272
4,4,sample 4 replicate 4,4,2.349999999999998,0.15,0.121,6.383,0.4741
4,4,sample 4 replicate 4,5,2.349999999999998,0.2,0.1482,8.5106,0.5807
4,4,sample 4 replicate 4,6,2.349999999999998,0.25,0.2671,10.6383,1.0466
4,4,sample 4 replicate 4,7,2.349999999999998,0.3,0.3485,12.766,1.3656
4,4,sample 4 replicate 4,8,2.349999999999998,0.35,0.4028,14.8936,1.5784
4,4,sample 4 replicate 4,9,2.349999999999998,0.4,0.4612,17.0213,1.8072
4,4,sample 4 replicate 4,10,2.349999999999998,0.45,0.528,19.1489,2.069
4,4,sample 4 replicate 4,11,2.349999999999998,0.5,0.6198,21.2766,2.4287
4,4,sample 4 replicate 4,12,2.349999999999998,0.55,0.6762,23.4043,2.6497
4,4,sample 4 replicate 4,13,2.349999999999998,0.6,0.7805,25.5319,3.0584
4,4,sample 4 replicate 4,14,2.349999999999998,0.65,0.8452,27.6596,3.3119
4,4,sample 4 replicate 4,15,2.349999999999998,0.7,0.935,29.7872,3.6638
4,4,sample 4 replicate 4,16,2.349999999999998,0.75,1.0414,31.9149,4.0807
4,4,sample 4 replicate 4,17,2.349999999999998,0.8,1.127,34.0426,4.4161
4,4,sample 4 replicate 4,18,2.349999999999998,0.85,1.2188,36.1702,4.7759
4,4,sample 4 replicate 4,19,2.349999999999998,0.9,1.3086,38.2979,5.1277
4,4,sample 4 replicate 4,20,2.349999999999998,0.95,1.4066,40.4255,5.5118
4,4,sample 4 replicate 4,21,2.349999999999998,1.0,1.5027,42.5532,5.8883
4,4,sample 4 replicate 4,22,2.349999999999998,1.05,1.5882,44.6809,6.2234
4,4,sample 4 replicate 4,23,2.349999999999998,1.1,1.6842,46.8085,6.5995
4,4,sample 4 replicate 4,24,2.349999999999998,1.15,1.7823,48.9362,6.9839
4,4,sample 4 replicate 4,25,2.349999999999998,1.2,1.8908,51.0638,7.4091
4,4,sample 4 replicate 4,26,2.349999999999998,1.25,1.9973,53.1915,7.8264
4,4,sample 4 replicate 4,27,2.349999999999998,1.3,2.1141,55.3191,8.2841
4,4,sample 4 replicate 4,28,2.349999999999998,1.35,2.2331,57.4468,8.7504
4,4,sample 4 replicate 4,29,2.349999999999998,1.4,2.3583,59.5745,9.241
4,4,sample 4 replicate 4,30,2.349999999999998,1.45,2.4919,61.7021,9.7645
4,4,sample 4 replicate 4,31,2.349999999999998,1.5,2.6255,63.8298,10.288
4,4,sample 4 replicate 4,32,2.349999999999998,1.55,2.7799,65.9574,10.893
4,4,sample 4 replicate 4,33,2.349999999999998,1.6,2.9385,68.0851,11.5145
4,4,sample 4 replicate 4,34,2.349999999999998,1.65,3.1055,70.2128,12.1689
4,4,sample 4 replicate 4,35,2.349999999999998,1.7,3.2724,72.3404,12.8229
4,4,sample 4 replicate 4,36,2.349999999999998,1.75,3.4707,74.4681,13.5999
4,4,sample 4 replicate 4,37,2.349999999999998,1.8,3.6565,76.5957,14.328
4,4,sample 4 replicate 4,38,2.349999999999998,1.85,3.8798,78.7234,15.203
4,4,sample 4 replicate 4,39,2.349999999999998,1.9,4.0968,80.8511,16.0533
4,4,sample 4 replicate 4,40,2.349999999999998,1.95,4.3243,82.9787,16.9447
4,4,sample 4 replicate 4,41,2.349999999999998,2.0,4.6019,85.1064,18.0325
4,4,sample 4 replicate 4,42,2.349999999999998,2.05,4.7396,87.234,18.5721
4,4,sample 4 replicate 4,43,2.349999999999998,2.1,4.7396,89.3617,18.5721
4,4,sample 4 replicate 4,44,2.349999999999998,2.15,1.822,91.4894,7.1395
