sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,6,sample 1 replicate 6,1,4.25,0.0,0.0,0.0,0.0
1,6,sample 1 replicate 6,2,4.25,0.05,0.0021,1.1765,0.0823
1,6,sample 1 replicate 6,3,4.25,0.1,0.0,2.3529,0.0
1,6,sample 1 replicate 6,4,4.25,0.15,-0.0042,3.5294,-0.1646
1,6,sample 1 replicate 6,5,4.25,0.2,-0.0083,4.7059,-0.3252
1,6,sample 1 replicate 6,6,4.25,0.25,0.0,5.8824,0.0
1,6,sample 1 replicate 6,7,4.25,0.3,-0.0063,7.0588,-0.2469
1,6,sample 1 replicate 6,8,4.25,0.35,0.0125,8.2353,0.4898
1,6,sample 1 replicate 6,9,4.25,0.4,0.0188,9.4118,0.7367
1,6,sample 1 replicate 6,10,4.25,0.45,0.0146,10.5882,0.5721
1,6,sample 1 replicate 6,11,4.25,0.5,0.0209,11.7647,0.819
1,6,sample 1 replicate 6,12,4.25,0.55,0.0459,12.9412,1.7986
1,6,sample 1 replicate 6,13,4.25,0.6,0.0355,14.1176,1.3911
1,6,sample 1 replicate 6,14,4.25,0.65,0.0167,15.2941,0.6544
1,6,sample 1 replicate 6,15,4.25,0.7,0.0188,16.4706,0.7367
1,6,sample 1 replicate 6,16,4.25,0.75,0.0438,17.6471,1.7163
1,6,sample 1 replicate 6,17,4.25,0.8,0.0501,18.8235,1.9632
1,6,sample 1 replicate 6,18,4.25,0.85,0.0438,20.0,1.7163
1,6,sample 1 replicate 6,19,4.25,0.9,0.0584,21.1765,2.2884
1,6,sample 1 replicate 6,20,4.25,0.95,0.0626,22.3529,2.453
1,6,sample 1 replicate 6,21,4.25,1.0,0.0626,23.5294,2.453
1,6,sample 1 replicate 6,22,4.25,1.05,0.0,24.7059,0.0
1,6,sample 1 replicate 6,23,4.25,1.1,0.0271,25.8824,1.0619
1,6,sample 1 replicate 6,24,4.25,1.15,0.0334,27.0588,1.3088
1,6,sample 1 replicate 6,25,4.25,1.2,0.0417,28.2353,1.634
1,6,sample 1 replicate 6,26,4.25,1.25,0.0355,29.4118,1.3911
1,6,sample 1 replicate 6,27,4.25,1.3,0.0396,30.5882,1.5517
1,6,sample 1 replicate 6,28,4.25,1.35,0.048,31.7647,1.8809
1,6,sample 1 replicate 6,29,4.25,1.4,0.0459,32.9412,1.7986
1,6,sample 1 replicate 6,30,4.25,1.45,0.0459,34.1176,1.7986
1,6,sample 1 replicate 6,31,4.25,1.5,0.0459,35.2941,1.7986
1,6,sample 1 replicate 6,32,4.25,1.55,0.0584,36.4706,2.2884
1,6,sample 1 replicate 6,33,4.25,1.6,0.0626,37.6471,2.453
1,6,sample 1 replicate 6,34,4.25,1.65,0.0647,38.8235,2.5353
1,6,sample 1 replicate 6,35,4.25,1.7,0.0522,40.0,2.0455
1,6,sample 1 replicate 6,36,4.25,1.75,0.0626,41.1765,2.453
1,6,sample 1 replicate 6,37,4.25,1.8,0.0626,42.3529,2.453
1,6,sample 1 replicate 6,38,4.25,1.85,0.0668,43.5294,2.6176
1,6,sample 1 replicate 6,39,4.25,1.9,0.071,44.7059,2.7821
1,6,sample 1 replicate 6,40,4.25,1.95,0.0751,45.8824,2.9428
1,6,sample 1 replicate 6,41,4.25,2.0,0.0751,47.0588,2.9428
1,6,sample 1 replicate 6,42,4.25,2.05,0.0751,48.2353,2.9428
1,6,sample 1 replicate 6,43,4.25,2.1,0.071,49.4118,2.7821
1,6,sample 1 replicate 6,44,4.25,2.15,0.0772,50.5882,3.0251
1,6,sample 1 replicate 6,45,4.25,2.2,0.0689,51.7647,2.6998
1,6,sample 1 replicate 6,46,4.25,2.25,0.071,52.9412,2.7821
1,6,sample 1 replicate 6,47,4.25,2.3,0.071,54.1176,2.7821
1,6,sample 1 replicate 6,48,4.25,2.35,0.0835,55.2941,3.2719
1,6,sample 1 replicate 6,49,4.25,2.4,0.0814,56.4706,3.1897
1,6,sample 1 replicate 6,50,4.25,2.45,0.0814,57.6471,3.1897
1,6,sample 1 replicate 6,51,4.25,2.5,0.1085,58.8235,4.2516
