sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,7,sample 1 replicate 7,1,2.0,0.0,0.0271,0.0,1.0619
1,7,sample 1 replicate 7,2,2.0,0.05,0.0292,2.5,1.1442
1,7,sample 1 replicate 7,3,2.0,0.1,0.0376,5.0,1.4734
1,7,sample 1 replicate 7,4,2.0,0.15,0.0501,7.5,1.9632
1,7,sample 1 replicate 7,5,2.0,0.2,0.0605,10.0,2.3707
1,7,sample 1 replicate 7,6,2.0,0.25,0.0668,12.5,2.6176
1,7,sample 1 replicate 7,7,2.0,0.3,0.0751,15.0,2.9428
1,7,sample 1 replicate 7,8,2.0,0.35,0.0772,17.5,3.0251
1,7,sample 1 replicate 7,9,2.0,0.4,0.0793,20.0,3.1074
1,7,sample 1 replicate 7,10,2.0,0.45,0.0918,22.5,3.5972
1,7,sample 1 replicate 7,11,2.0,0.5,0.0939,25.0,3.6795
1,7,sample 1 replicate 7,12,2.0,0.55,0.1023,27.5,4.0086
1,7,sample 1 replicate 7,13,2.0,0.6,0.1127,30.0,4.4161
1,7,sample 1 replicate 7,14,2.0,0.65,0.1357,32.5,5.3174
1,7,sample 1 replicate 7,15,2.0,0.7,0.1398,35.0,5.4781
1,7,sample 1 replicate 7,16,2.0,0.75,0.1503,37.5,5.8895
1,7,sample 1 replicate 7,17,2.0,0.8,0.1586,40.0,6.2147
1,7,sample 1 replicate 7,18,2.0,0.85,0.1795,42.5,7.0337
1,7,sample 1 replicate 7,19,2.0,0.9,0.192,45.0,7.5235
1,7,sample 1 replicate 7,20,2.0,0.95,0.1983,47.5,7.7704
1,7,sample 1 replicate 7,21,2.0,1.0,0.2108,50.0,8.2602
1,7,sample 1 replicate 7,22,2.0,1.05,0.2191,52.5,8.5854
1,7,sample 1 replicate 7,23,2.0,1.1,0.2484,55.0,9.7335
1,7,sample 1 replicate 7,24,2.0,1.15,0.2776,57.5,10.8777
1,7,sample 1 replicate 7,25,2.0,1.2,0.2984,60.0,11.6928
1,7,sample 1 replicate 7,26,2.0,1.25,0.3277,62.5,12.8409
1,7,sample 1 replicate 7,27,2.0,1.3,0.3444,65.0,13.4953
1,7,sample 1 replicate 7,28,2.0,1.35,0.3673,67.5,14.3926
1,7,sample 1 replicate 7,29,2.0,1.4,0.4278,70.0,16.7633
1,7,sample 1 replicate 7,30,2.0,1.45,0.4758,72.5,18.6442
1,7,sample 1 replicate 7,31,2.0,1.5,0.5468,75.0,21.4263
1,7,sample 1 replicate 7,32,2.0,1.55,0.5948,77.5,23.3072
1,7,sample 1 replicate 7,33,2.0,1.6,0.6658,80.0,26.0893
1,7,sample 1 replicate 7,34,2.0,1.65,0.768,82.5,30.094
1,7,sample 1 replicate 7,35,2.0,1.7,0.3611,85.0,14.1497
2,7,sample 2 replicate 7,1,2.150000000000002,0.0,0.0271,0.0,1.0619
2,7,sample 2 replicate 7,2,2.150000000000002,0.05,0.0397,2.3256,1.5556
2,7,sample 2 replicate 7,3,2.150000000000002,0.1,0.0397,4.6512,1.5556
2,7,sample 2 replicate 7,4,2.150000000000002,0.15,0.0584,6.9767,2.2884
2,7,sample 2 replicate 7,5,2.150000000000002,0.2,0.0647,9.3023,2.5353
2,7,sample 2 replicate 7,6,2.150000000000002,0.25,0.0668,11.6279,2.6176
2,7,sample 2 replicate 7,7,2.150000000000002,0.3,0.073,13.9535,2.8605
2,7,sample 2 replicate 7,8,2.150000000000002,0.35,0.0772,16.2791,3.0251
2,7,sample 2 replicate 7,9,2.150000000000002,0.4,0.0814,18.6047,3.1897
2,7,sample 2 replicate 7,10,2.150000000000002,0.45,0.0856,20.9302,3.3542
2,7,sample 2 replicate 7,11,2.150000000000002,0.5,0.0939,23.2558,3.6795
2,7,sample 2 replicate 7,12,2.150000000000002,0.55,0.1002,25.5814,3.9263
2,7,sample 2 replicate 7,13,2.150000000000002,0.6,0.1148,27.907,4.4984
2,7,sample 2 replicate 7,14,2.150000000000002,0.65,0.1294,30.2326,5.0705
2,7,sample 2 replicate 7,15,2.150000000000002,0.7,0.1461,32.5581,5.7249
2,7,sample 2 replicate 7,16,2.150000000000002,0.75,0.1524,34.8837,5.9718
2,7,sample 2 replicate 7,17,2.150000000000002,0.8,0.1628,37.2093,6.3793
2,7,sample 2 replicate 7,18,2.150000000000002,0.85,0.1816,39.5349,7.116
2,7,sample 2 replicate 7,19,2.150000000000002,0.9,0.1962,41.8605,7.6881
2,7,sample 2 replicate 7,20,2.150000000000002,0.95,0.2024,44.186,7.931
2,7,sample 2 replicate 7,21,2.150000000000002,1.0,0.215,46.5116,8.4248
2,7,sample 2 replicate 7,22,2.150000000000002,1.05,0.2275,48.8372,8.9146
2,7,sample 2 replicate 7,23,2.150000000000002,1.1,0.2379,51.1628,9.3221
2,7,sample 2 replicate 7,24,2.150000000000002,1.15,0.2755,53.4884,10.7955
2,7,sample 2 replicate 7,25,2.150000000000002,1.2,0.3005,55.814,11.7751
2,7,sample 2 replicate 7,26,2.150000000000002,1.25,0.3298,58.1395,12.9232
2,7,sample 2 replicate 7,27,2.150000000000002,1.3,0.3464,60.4651,13.5737
