sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
2,1,sample 2 replicate 1,1,2.4499999999999993,0.0,0.0271,0.0,1.0619
2,1,sample 2 replicate 1,2,2.4499999999999993,0.05,0.0397,2.0408,1.5556
2,1,sample 2 replicate 1,3,2.4499999999999993,0.1,0.0605,4.0816,2.3707
2,1,sample 2 replicate 1,4,2.4499999999999993,0.15,0.0939,6.1224,3.6795
2,1,sample 2 replicate 1,5,2.4499999999999993,0.2,0.1503,8.1633,5.8895
2,1,sample 2 replicate 1,6,2.4499999999999993,0.25,0.2233,10.2041,8.75
2,1,sample 2 replicate 1,7,2.4499999999999993,0.3,0.2859,12.2449,11.203
2,1,sample 2 replicate 1,8,2.4499999999999993,0.35,0.3485,14.2857,13.656
2,1,sample 2 replicate 1,9,2.4499999999999993,0.4,0.4091,16.3265,16.0306
2,1,sample 2 replicate 1,10,2.4499999999999993,0.45,0.4487,18.3673,17.5823
2,1,sample 2 replicate 1,11,2.4499999999999993,0.5,0.5301,20.4082,20.7719
2,1,sample 2 replicate 1,12,2.4499999999999993,0.55,0.5698,22.449,22.3276
2,1,sample 2 replicate 1,13,2.4499999999999993,0.6,0.6616,24.4898,25.9248
2,1,sample 2 replicate 1,14,2.4499999999999993,0.65,0.7138,26.5306,27.9702
2,1,sample 2 replicate 1,15,2.4499999999999993,0.7,0.7847,28.5714,30.7484
2,1,sample 2 replicate 1,16,2.4499999999999993,0.75,0.8306,30.6122,32.547
2,1,sample 2 replicate 1,17,2.4499999999999993,0.8,0.8995,32.6531,35.2469
2,1,sample 2 replicate 1,18,2.4499999999999993,0.85,0.9579,34.6939,37.5353
2,1,sample 2 replicate 1,19,2.4499999999999993,0.9,1.0372,36.7347,40.6426
2,1,sample 2 replicate 1,20,2.4499999999999993,0.95,1.0936,38.7755,42.8527
2,1,sample 2 replicate 1,21,2.4499999999999993,1.0,1.1854,40.8163,46.4498
2,1,sample 2 replicate 1,22,2.4499999999999993,1.05,1.2585,42.8571,49.3143
2,1,sample 2 replicate 1,23,2.4499999999999993,1.1,1.344,44.898,52.6646
2,1,sample 2 replicate 1,24,2.4499999999999993,1.15,1.4233,46.9388,55.7719
2,1,sample 2 replicate 1,25,2.4499999999999993,1.2,1.511,48.9796,59.2085
2,1,sample 2 replicate 1,26,2.4499999999999993,1.25,1.6133,51.0204,63.2171
2,1,sample 2 replicate 1,27,2.4499999999999993,1.3,1.7155,53.0612,67.2218
2,1,sample 2 replicate 1,28,2.4499999999999993,1.35,1.8074,55.102,70.8229
2,1,sample 2 replicate 1,29,2.4499999999999993,1.4,1.9096,57.1429,74.8276
2,1,sample 2 replicate 1,30,2.4499999999999993,1.45,2.0411,59.1837,79.9804
2,1,sample 2 replicate 1,31,2.4499999999999993,1.5,2.1538,61.2245,84.3966
2,1,sample 2 replicate 1,32,2.4499999999999993,1.55,2.2957,63.2653,89.9569
2,1,sample 2 replicate 1,33,2.4499999999999993,1.6,2.4251,65.3061,95.0274
2,1,sample 2 replicate 1,34,2.4499999999999993,1.65,2.5796,67.3469,101.0815
2,1,sample 2 replicate 1,35,2.4499999999999993,1.7,2.759,69.3878,108.1113
2,1,sample 2 replicate 1,36,2.4499999999999993,1.75,2.8863,71.4286,113.0995
2,1,sample 2 replicate 1,37,2.4499999999999993,1.8,3.1389,73.4694,122.9976
2,1,sample 2 replicate 1,38,2.4499999999999993,1.85,3.3622,75.5102,131.7476
2,1,sample 2 replicate 1,39,2.4499999999999993,1.9,3.5959,77.551,140.9052
2,1,sample 2 replicate 1,40,2.4499999999999993,1.95,3.7671,79.5918,147.6136
2,1,sample 2 replicate 1,41,2.4499999999999993,2.0,4.0572,81.6327,158.9812
2,1,sample 2 replicate 1,42,2.4499999999999993,2.05,4.3493,83.6735,170.4271
2,1,sample 2 replicate 1,43,2.4499999999999993,2.1,4.7334,85.7143,185.4781
2,1,sample 2 replicate 1,44,2.4499999999999993,2.15,5.0255,87.7551,196.924
3,1,sample 3 replicate 1,1,2.4499999999999993,0.0,0.0209,0.0,0.819
3,1,sample 3 replicate 1,2,2.4499999999999993,0.05,0.025,2.0408,0.9796
3,1,sample 3 replicate 1,3,2.4499999999999993,0.1,0.048,4.0816,1.8809
3,1,sample 3 replicate 1,4,2.4499999999999993,0.15,0.1002,6.1224,3.9263
3,1,sample 3 replicate 1,5,2.4499999999999993,0.2,0.1607,8.1633,6.297
3,1,sample 3 replicate 1,6,2.4499999999999993,0.25,0.2358,10.2041,9.2398
3,1,sample 3 replicate 1,7,2.4499999999999993,0.3,0.2922,12.2449,11.4498
3,1,sample 3 replicate 1,8,2.4499999999999993,0.35,0.3611,14.2857,14.1497
3,1,sample 3 replicate 1,9,2.4499999999999993,0.4,0.4216,16.3265,16.5204
3,1,sample 3 replicate 1,10,2.4499999999999993,0.45,0.4884,18.3673,19.1379
3,1,sample 3 replicate 1,11,2.4499999999999993,0.5,0.5489,20.4082,21.5086
3,1,sample 3 replicate 1,12,2.4499999999999993,0.55,0.6261,22.449,24.5337
3,1,sample 3 replicate 1,13,2.4499999999999993,0.6,0.6866,24.4898,26.9044
3,1,sample 3 replicate 1,14,2.4499999999999993,0.65,0.7492,26.5306,29.3574
3,1,sample 3 replicate 1,15,2.4499999999999993,0.7,0.8035,28.5714,31.4851
3,1,sample 3 replicate 1,16,2.4499999999999993,0.75,0.8473,30.6122,33.2014
3,1,sample 3 replicate 1,17,2.4499999999999993,0.8,0.9141,32.6531,35.819
3,1,sample 3 replicate 1,18,2.4499999999999993,0.85,0.9642,34.6939,37.7821
3,1,sample 3 replicate 1,19,2.4499999999999993,0.9,1.0352,36.7347,40.5643
3,1,sample 3 replicate 1,20,2.4499999999999993,0.95,1.0915,38.7755,42.7704
3,1,sample 3 replicate 1,21,2.4499999999999993,1.0,1.1729,40.8163,45.96
3,1,sample 3 replicate 1,22,2.4499999999999993,1.05,1.2439,42.8571,48.7422
3,1,sample 3 replicate 1,23,2.4499999999999993,1.1,1.3232,44.898,51.8495
3,1,sample 3 replicate 1,24,2.4499999999999993,1.15,1.3962,46.9388,54.71
3,1,sample 3 replicate 1,25,2.4499999999999993,1.2,1.4797,48.9796,57.982
3,1,sample 3 replicate 1,26,2.4499999999999993,1.25,1.5715,51.0204,61.5792
3,1,sample 3 replicate 1,27,2.4499999999999993,1.3,1.6738,53.0612,65.5878
