sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
2,2,sample 2 replicate 2,1,2.4499999999999993,0.0,0.0167,0.0,0.6544
2,2,sample 2 replicate 2,2,2.4499999999999993,0.05,0.0271,2.0408,1.0619
2,2,sample 2 replicate 2,3,2.4499999999999993,0.1,0.0522,4.0816,2.0455
2,2,sample 2 replicate 2,4,2.4499999999999993,0.15,0.0814,6.1224,3.1897
2,2,sample 2 replicate 2,5,2.4499999999999993,0.2,0.144,8.1633,5.6426
2,2,sample 2 replicate 2,6,2.4499999999999993,0.25,0.1795,10.2041,7.0337
2,2,sample 2 replicate 2,7,2.4499999999999993,0.3,0.2797,12.2449,10.96
2,2,sample 2 replicate 2,8,2.4499999999999993,0.35,0.3485,14.2857,13.656
2,2,sample 2 replicate 2,9,2.4499999999999993,0.4,0.4028,16.3265,15.7837
2,2,sample 2 replicate 2,10,2.4499999999999993,0.45,0.4821,18.3673,18.8911
2,2,sample 2 replicate 2,11,2.4499999999999993,0.5,0.5468,20.4082,21.4263
2,2,sample 2 replicate 2,12,2.4499999999999993,0.55,0.6219,22.449,24.3691
2,2,sample 2 replicate 2,13,2.4499999999999993,0.6,0.695,24.4898,27.2335
2,2,sample 2 replicate 2,14,2.4499999999999993,0.65,0.7826,26.5306,30.6661
2,2,sample 2 replicate 2,15,2.4499999999999993,0.7,0.8411,28.5714,32.9585
2,2,sample 2 replicate 2,16,2.4499999999999993,0.75,0.9287,30.6122,36.3911
2,2,sample 2 replicate 2,17,2.4499999999999993,0.8,0.9746,32.6531,38.1897
2,2,sample 2 replicate 2,18,2.4499999999999993,0.85,1.0748,34.6939,42.116
2,2,sample 2 replicate 2,19,2.4499999999999993,0.9,1.0873,36.7347,42.6058
2,2,sample 2 replicate 2,20,2.4499999999999993,0.95,1.223,38.7755,47.9232
2,2,sample 2 replicate 2,21,2.4499999999999993,1.0,1.3044,40.8163,51.1129
2,2,sample 2 replicate 2,22,2.4499999999999993,1.05,1.3941,42.8571,54.6277
2,2,sample 2 replicate 2,23,2.4499999999999993,1.1,1.4693,44.898,57.5745
2,2,sample 2 replicate 2,24,2.4499999999999993,1.15,1.5653,46.9388,61.3362
2,2,sample 2 replicate 2,25,2.4499999999999993,1.2,1.6467,48.9796,64.5259
2,2,sample 2 replicate 2,26,2.4499999999999993,1.25,1.7531,51.0204,68.6951
2,2,sample 2 replicate 2,27,2.4499999999999993,1.3,1.8554,53.0612,72.7038
2,2,sample 2 replicate 2,28,2.4499999999999993,1.35,1.966,55.102,77.0376
2,2,sample 2 replicate 2,29,2.4499999999999993,1.4,2.0828,57.1429,81.6144
2,3,sample 2 replicate 3,1,2.4499999999999993,0.0,0.0146,0.0,0.5721
2,3,sample 2 replicate 3,2,2.4499999999999993,0.05,0.0292,2.0408,1.1442
2,3,sample 2 replicate 3,3,2.4499999999999993,0.1,0.0459,4.0816,1.7986
2,3,sample 2 replicate 3,4,2.4499999999999993,0.15,0.0564,6.1224,2.21
2,3,sample 2 replicate 3,5,2.4499999999999993,0.2,0.0814,8.1633,3.1897
2,3,sample 2 replicate 3,6,2.4499999999999993,0.25,0.1002,10.2041,3.9263
2,3,sample 2 replicate 3,7,2.4499999999999993,0.3,0.1252,12.2449,4.906
2,3,sample 2 replicate 3,8,2.4499999999999993,0.35,0.1503,14.2857,5.8895
2,3,sample 2 replicate 3,9,2.4499999999999993,0.4,0.1711,16.3265,6.7045
2,3,sample 2 replicate 3,10,2.4499999999999993,0.45,0.2212,18.3673,8.6677
2,3,sample 2 replicate 3,11,2.4499999999999993,0.5,0.2504,20.4082,9.8119
2,3,sample 2 replicate 3,12,2.4499999999999993,0.55,0.2838,22.449,11.1207
2,3,sample 2 replicate 3,13,2.4499999999999993,0.6,0.3026,24.4898,11.8574
2,3,sample 2 replicate 3,14,2.4499999999999993,0.65,0.3444,26.5306,13.4953
2,3,sample 2 replicate 3,15,2.4499999999999993,0.7,0.3736,28.5714,14.6395
2,3,sample 2 replicate 3,16,2.4499999999999993,0.75,0.4049,30.6122,15.866
2,3,sample 2 replicate 3,17,2.4499999999999993,0.8,0.4195,32.6531,16.4381
2,3,sample 2 replicate 3,18,2.4499999999999993,0.85,0.4445,34.6939,17.4177
2,3,sample 2 replicate 3,19,2.4499999999999993,0.9,0.4884,36.7347,19.1379
2,3,sample 2 replicate 3,20,2.4499999999999993,0.95,0.5113,38.7755,20.0353
2,3,sample 2 replicate 3,21,2.4499999999999993,1.0,0.5468,40.8163,21.4263
2,3,sample 2 replicate 3,22,2.4499999999999993,1.05,0.5698,42.8571,22.3276
2,3,sample 2 replicate 3,23,2.4499999999999993,1.1,0.6386,44.898,25.0235
2,3,sample 2 replicate 3,24,2.4499999999999993,1.15,0.6845,46.9388,26.8221
2,3,sample 2 replicate 3,25,2.4499999999999993,1.2,0.7075,48.9796,27.7234
2,3,sample 2 replicate 3,26,2.4499999999999993,1.25,0.7638,51.0204,29.9295
2,3,sample 2 replicate 3,27,2.4499999999999993,1.3,0.8119,53.0612,31.8143
2,3,sample 2 replicate 3,28,2.4499999999999993,1.35,0.8473,55.102,33.2014
