sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,2,sample 1 replicate 2,1,2.349999999999998,0.0,0.0125,0.0,0.4898
1,2,sample 1 replicate 2,2,2.349999999999998,0.05,0.0271,2.1277,1.0619
1,2,sample 1 replicate 2,3,2.349999999999998,0.1,0.0292,4.2553,1.1442
1,2,sample 1 replicate 2,4,2.349999999999998,0.15,0.0584,6.383,2.2884
1,2,sample 1 replicate 2,5,2.349999999999998,0.2,0.0835,8.5106,3.2719
1,2,sample 1 replicate 2,6,2.349999999999998,0.25,0.121,10.6383,4.7414
1,2,sample 1 replicate 2,7,2.349999999999998,0.3,0.1899,12.766,7.4412
1,2,sample 1 replicate 2,8,2.349999999999998,0.35,0.2755,14.8936,10.7955
1,2,sample 1 replicate 2,9,2.349999999999998,0.4,0.3047,17.0213,11.9397
1,2,sample 1 replicate 2,10,2.349999999999998,0.45,0.3861,19.1489,15.1293
1,2,sample 1 replicate 2,11,2.349999999999998,0.5,0.4195,21.2766,16.4381
1,2,sample 1 replicate 2,12,2.349999999999998,0.55,0.5197,23.4043,20.3644
1,2,sample 1 replicate 2,13,2.349999999999998,0.6,0.5635,25.5319,22.0807
1,2,sample 1 replicate 2,14,2.349999999999998,0.65,0.6616,27.6596,25.9248
1,2,sample 1 replicate 2,15,2.349999999999998,0.7,0.7305,29.7872,28.6246
1,2,sample 1 replicate 2,16,2.349999999999998,0.75,0.7993,31.9149,31.3205
1,2,sample 1 replicate 2,17,2.349999999999998,0.8,0.8598,34.0426,33.6912
1,2,sample 1 replicate 2,18,2.349999999999998,0.85,0.9308,36.1702,36.4734
1,2,sample 1 replicate 2,19,2.349999999999998,0.9,0.983,38.2979,38.5188
1,2,sample 1 replicate 2,20,2.349999999999998,0.95,1.0581,40.4255,41.4616
1,2,sample 1 replicate 2,21,2.349999999999998,1.0,1.1019,42.5532,43.1779
1,2,sample 1 replicate 2,22,2.349999999999998,1.05,1.1687,44.6809,45.7955
1,2,sample 1 replicate 2,23,2.349999999999998,1.1,1.248,46.8085,48.9028
1,2,sample 1 replicate 2,24,2.349999999999998,1.15,1.3273,48.9362,52.0102
1,2,sample 1 replicate 2,25,2.349999999999998,1.2,1.415,51.0638,55.4467
1,2,sample 1 replicate 2,26,2.349999999999998,1.25,1.5026,53.1915,58.8793
1,2,sample 1 replicate 2,27,2.349999999999998,1.3,1.582,55.3191,61.9906
1,2,sample 1 replicate 2,28,2.349999999999998,1.35,1.68,57.4468,65.8307
1,2,sample 1 replicate 2,29,2.349999999999998,1.4,1.7823,59.5745,69.8393
1,2,sample 1 replicate 2,30,2.349999999999998,1.45,1.8908,61.7021,74.0909
1,2,sample 1 replicate 2,31,2.349999999999998,1.5,1.9889,63.8298,77.935
1,2,sample 1 replicate 2,32,2.349999999999998,1.55,2.0682,65.9574,81.0423
1,3,sample 1 replicate 3,1,1.5999999999999979,0.0,-0.0271,0.0,-1.0619
1,3,sample 1 replicate 3,2,1.5999999999999979,0.05,0.0271,3.125,1.0619
1,3,sample 1 replicate 3,3,1.5999999999999979,0.1,0.0083,6.25,0.3252
1,3,sample 1 replicate 3,4,1.5999999999999979,0.15,0.0376,9.375,1.4734
1,3,sample 1 replicate 3,5,1.5999999999999979,0.2,0.0605,12.5,2.3707
1,3,sample 1 replicate 3,6,1.5999999999999979,0.25,0.048,15.625,1.8809
1,3,sample 1 replicate 3,7,1.5999999999999979,0.3,0.0751,18.75,2.9428
1,3,sample 1 replicate 3,8,1.5999999999999979,0.35,0.0981,21.875,3.844
1,3,sample 1 replicate 3,9,1.5999999999999979,0.4,0.1148,25.0,4.4984
1,3,sample 1 replicate 3,10,1.5999999999999979,0.45,0.1503,28.125,5.8895
1,3,sample 1 replicate 3,11,1.5999999999999979,0.5,0.1565,31.25,6.1324
1,3,sample 1 replicate 3,12,1.5999999999999979,0.55,0.2296,34.375,8.9969
1,3,sample 1 replicate 3,13,1.5999999999999979,0.6,0.2442,37.5,9.569
1,3,sample 1 replicate 3,14,1.5999999999999979,0.65,0.2734,40.625,10.7132
1,3,sample 1 replicate 3,15,1.5999999999999979,0.7,0.2943,43.75,11.5321
1,3,sample 1 replicate 3,16,1.5999999999999979,0.75,0.3402,46.875,13.3307
1,3,sample 1 replicate 3,17,1.5999999999999979,0.8,0.3757,50.0,14.7218
1,3,sample 1 replicate 3,18,1.5999999999999979,0.85,0.4132,53.125,16.1912
1,3,sample 1 replicate 3,19,1.5999999999999979,0.9,0.4216,56.25,16.5204
