sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,5,sample 4 replicate 5,1,4.599999999999998,0.0,-0.0689,0.0,-2.6998
4,5,sample 4 replicate 5,2,4.599999999999998,0.05,0.1044,1.087,4.0909
4,5,sample 4 replicate 5,3,4.599999999999998,0.1,0.1127,2.1739,4.4161
4,5,sample 4 replicate 5,4,4.599999999999998,0.15,0.1064,3.2609,4.1693
4,5,sample 4 replicate 5,5,4.599999999999998,0.2,0.1231,4.3478,4.8237
4,5,sample 4 replicate 5,6,4.599999999999998,0.25,0.1023,5.4348,4.0086
4,5,sample 4 replicate 5,7,4.599999999999998,0.3,0.121,6.5217,4.7414
4,5,sample 4 replicate 5,8,4.599999999999998,0.35,0.1315,7.6087,5.1528
4,5,sample 4 replicate 5,9,4.599999999999998,0.4,0.1148,8.6957,4.4984
4,5,sample 4 replicate 5,10,4.599999999999998,0.45,0.1273,9.7826,4.9882
4,5,sample 4 replicate 5,11,4.599999999999998,0.5,0.1023,10.8696,4.0086
4,5,sample 4 replicate 5,12,4.599999999999998,0.55,0.1252,11.9565,4.906
4,5,sample 4 replicate 5,13,4.599999999999998,0.6,0.119,13.0435,4.663
4,5,sample 4 replicate 5,14,4.599999999999998,0.65,0.0835,14.1304,3.2719
4,5,sample 4 replicate 5,15,4.599999999999998,0.7,0.1044,15.2174,4.0909
4,5,sample 4 replicate 5,16,4.599999999999998,0.75,0.1148,16.3043,4.4984
4,5,sample 4 replicate 5,17,4.599999999999998,0.8,0.1064,17.3913,4.1693
4,5,sample 4 replicate 5,18,4.599999999999998,0.85,0.119,18.4783,4.663
4,5,sample 4 replicate 5,19,4.599999999999998,0.9,0.1169,19.5652,4.5807
4,5,sample 4 replicate 5,20,4.599999999999998,0.95,0.1336,20.6522,5.2351
4,5,sample 4 replicate 5,21,4.599999999999998,1.0,0.1377,21.7391,5.3958
4,5,sample 4 replicate 5,22,4.599999999999998,1.05,0.1377,22.8261,5.3958
4,5,sample 4 replicate 5,23,4.599999999999998,1.1,0.1315,23.913,5.1528
4,5,sample 4 replicate 5,24,4.599999999999998,1.15,0.1377,25.0,5.3958
