sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,5,sample 4 replicate 5,1,2.349999999999998,0.0,-0.0042,0.0,-0.1646
4,5,sample 4 replicate 5,2,2.349999999999998,0.05,0.0355,2.1277,1.3911
4,5,sample 4 replicate 5,3,2.349999999999998,0.1,0.023,4.2553,0.9013
4,5,sample 4 replicate 5,4,2.349999999999998,0.15,0.0668,6.383,2.6176
4,5,sample 4 replicate 5,5,2.349999999999998,0.2,0.0981,8.5106,3.844
4,5,sample 4 replicate 5,6,2.349999999999998,0.25,0.1231,10.6383,4.8237
4,5,sample 4 replicate 5,7,2.349999999999998,0.3,0.2004,12.766,7.8527
4,5,sample 4 replicate 5,8,2.349999999999998,0.35,0.2901,14.8936,11.3676
4,5,sample 4 replicate 5,9,2.349999999999998,0.4,0.4466,17.0213,17.5
4,5,sample 4 replicate 5,10,2.349999999999998,0.45,0.5677,19.1489,22.2453
4,5,sample 4 replicate 5,11,2.349999999999998,0.5,0.6929,21.2766,27.1513
4,5,sample 4 replicate 5,12,2.349999999999998,0.55,0.8306,23.4043,32.547
4,5,sample 4 replicate 5,13,2.349999999999998,0.6,0.9454,25.5319,37.0455
4,5,sample 4 replicate 5,14,2.349999999999998,0.65,1.0519,27.6596,41.2187
4,5,sample 4 replicate 5,15,2.349999999999998,0.7,1.1687,29.7872,45.7955
4,5,sample 4 replicate 5,16,2.349999999999998,0.75,1.2731,31.9149,49.8864
4,5,sample 4 replicate 5,17,2.349999999999998,0.8,1.3712,34.0426,53.7304
4,5,sample 4 replicate 5,18,2.349999999999998,0.85,1.4964,36.1702,58.6364
4,5,sample 4 replicate 5,19,2.349999999999998,0.9,1.6049,38.2979,62.8879
4,5,sample 4 replicate 5,20,2.349999999999998,0.95,1.7134,40.4255,67.1395
4,5,sample 4 replicate 5,21,2.349999999999998,1.0,1.8282,42.5532,71.6379
4,5,sample 4 replicate 5,22,2.349999999999998,1.05,1.918,44.6809,75.1567
4,5,sample 4 replicate 5,23,2.349999999999998,1.1,2.0035,46.8085,78.5071
4,5,sample 4 replicate 5,24,2.349999999999998,1.15,2.0599,48.9362,80.7171
4,5,sample 4 replicate 5,25,2.349999999999998,1.2,2.183,51.0638,85.5408
4,5,sample 4 replicate 5,26,2.349999999999998,1.25,2.3103,53.1915,90.529
4,5,sample 4 replicate 5,27,2.349999999999998,1.3,2.0474,55.3191,80.2273
4,5,sample 4 replicate 5,28,2.349999999999998,1.35,2.1768,57.4468,85.2978
4,5,sample 4 replicate 5,29,2.349999999999998,1.4,2.423,59.5745,94.9451
4,5,sample 4 replicate 5,30,2.349999999999998,1.45,2.6443,61.7021,103.6168
4,5,sample 4 replicate 5,31,2.349999999999998,1.5,2.8905,63.8298,113.2641
4,5,sample 4 replicate 5,32,2.349999999999998,1.55,3.1201,65.9574,122.261
4,5,sample 4 replicate 5,33,2.349999999999998,1.6,3.3601,68.0851,131.6654
4,5,sample 4 replicate 5,34,2.349999999999998,1.65,3.6272,70.2128,142.1317
4,5,sample 4 replicate 5,35,2.349999999999998,1.7,3.9445,72.3404,154.565
4,5,sample 4 replicate 5,36,2.349999999999998,1.75,4.3076,74.4681,168.7931
4,5,sample 4 replicate 5,37,2.349999999999998,1.8,4.7229,76.5957,185.0666
4,5,sample 4 replicate 5,38,2.349999999999998,1.85,5.1842,78.7234,203.1426
4,5,sample 4 replicate 5,39,2.349999999999998,1.9,5.6976,80.8511,223.2602
4,5,sample 4 replicate 5,40,2.349999999999998,1.95,6.2402,82.9787,244.5219
4,5,sample 4 replicate 5,41,2.349999999999998,2.0,6.8078,85.1064,266.7633
4,5,sample 4 replicate 5,42,2.349999999999998,2.05,7.3943,87.234,289.7453
4,5,sample 4 replicate 5,43,2.349999999999998,2.1,3.31,89.3617,129.7022
