sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,1,sample 4 replicate 1,1,2.349999999999998,0.0,0.0021,0.0,0.0823
4,1,sample 4 replicate 1,2,2.349999999999998,0.05,0.0292,2.1277,1.1442
4,1,sample 4 replicate 1,3,2.349999999999998,0.1,0.0501,4.2553,1.9632
4,1,sample 4 replicate 1,4,2.349999999999998,0.15,0.073,6.383,2.8605
4,1,sample 4 replicate 1,5,2.349999999999998,0.2,0.1106,8.5106,4.3339
4,1,sample 4 replicate 1,6,2.349999999999998,0.25,0.1565,10.6383,6.1324
4,1,sample 4 replicate 1,7,2.349999999999998,0.3,0.192,12.766,7.5235
4,1,sample 4 replicate 1,8,2.349999999999998,0.35,0.2609,14.8936,10.2234
4,1,sample 4 replicate 1,9,2.349999999999998,0.4,0.3903,17.0213,15.2939
4,1,sample 4 replicate 1,10,2.349999999999998,0.45,0.5218,19.1489,20.4467
4,1,sample 4 replicate 1,11,2.349999999999998,0.5,0.6345,21.2766,24.8629
4,1,sample 4 replicate 1,12,2.349999999999998,0.55,0.7242,23.4043,28.3777
4,1,sample 4 replicate 1,13,2.349999999999998,0.6,0.8432,25.5319,33.0408
4,1,sample 4 replicate 1,14,2.349999999999998,0.65,0.9621,27.6596,37.6998
4,1,sample 4 replicate 1,15,2.349999999999998,0.7,1.0832,29.7872,42.4451
4,1,sample 4 replicate 1,16,2.349999999999998,0.75,1.223,31.9149,47.9232
4,1,sample 4 replicate 1,17,2.349999999999998,0.8,1.3587,34.0426,53.2406
4,1,sample 4 replicate 1,18,2.349999999999998,0.85,1.4943,36.1702,58.5541
4,1,sample 4 replicate 1,19,2.349999999999998,0.9,1.6425,38.2979,64.3613
4,1,sample 4 replicate 1,20,2.349999999999998,0.95,1.8032,40.4255,70.6583
4,1,sample 4 replicate 1,21,2.349999999999998,1.0,1.9722,42.5532,77.2806
4,1,sample 4 replicate 1,22,2.349999999999998,1.05,2.1371,44.6809,83.7422
4,1,sample 4 replicate 1,23,2.349999999999998,1.1,2.3166,46.8085,90.7759
4,1,sample 4 replicate 1,24,2.349999999999998,1.15,2.519,48.9362,98.7069
4,1,sample 4 replicate 1,25,2.349999999999998,1.2,2.7236,51.0638,106.7241
4,1,sample 4 replicate 1,26,2.349999999999998,1.25,2.9406,53.1915,115.2273
4,1,sample 4 replicate 1,27,2.349999999999998,1.3,3.1764,55.3191,124.4671
4,1,sample 4 replicate 1,28,2.349999999999998,1.35,3.429,57.4468,134.3652
4,1,sample 4 replicate 1,29,2.349999999999998,1.4,3.573,59.5745,140.0078
4,1,sample 4 replicate 1,30,2.349999999999998,1.45,3.8526,61.7021,150.9639
4,1,sample 4 replicate 1,31,2.349999999999998,1.5,4.1845,63.8298,163.9694
4,1,sample 4 replicate 1,32,2.349999999999998,1.55,4.5059,65.9574,176.5635
4,1,sample 4 replicate 1,33,2.349999999999998,1.6,4.6436,68.0851,181.9592
4,1,sample 4 replicate 1,34,2.349999999999998,1.65,5.0464,70.2128,197.7429
4,1,sample 4 replicate 1,35,2.349999999999998,1.7,5.5097,72.3404,215.8973
4,1,sample 4 replicate 1,36,2.349999999999998,1.75,5.349,74.4681,209.6003
4,1,sample 4 replicate 1,37,2.349999999999998,1.8,5.8708,76.5957,230.047
4,1,sample 4 replicate 1,38,2.349999999999998,1.85,6.3404,78.7234,248.4483
4,1,sample 4 replicate 1,39,2.349999999999998,1.9,6.6722,80.8511,261.4498
4,1,sample 4 replicate 1,40,2.349999999999998,1.95,6.9519,82.9787,272.4099
4,1,sample 4 replicate 1,41,2.349999999999998,2.0,4.8774,85.1064,191.1207
4,1,sample 4 replicate 1,42,2.349999999999998,2.05,2.663,87.234,104.3495
5,1,sample 5 replicate 1,1,2.5,0.0,0.0042,0.0,0.1646
5,1,sample 5 replicate 1,2,2.5,0.05,0.0146,2.0,0.5721
5,1,sample 5 replicate 1,3,2.5,0.1,0.0271,4.0,1.0619
5,1,sample 5 replicate 1,4,2.5,0.15,0.0501,6.0,1.9632
5,1,sample 5 replicate 1,5,2.5,0.2,0.071,8.0,2.7821
5,1,sample 5 replicate 1,6,2.5,0.25,0.1169,10.0,4.5807
5,1,sample 5 replicate 1,7,2.5,0.3,0.1795,12.0,7.0337
5,1,sample 5 replicate 1,8,2.5,0.35,0.3026,14.0,11.8574
5,1,sample 5 replicate 1,9,2.5,0.4,0.4153,16.0,16.2735
5,1,sample 5 replicate 1,10,2.5,0.45,0.5071,18.0,19.8707
5,1,sample 5 replicate 1,11,2.5,0.5,0.6157,20.0,24.1262
5,1,sample 5 replicate 1,12,2.5,0.55,0.7221,22.0,28.2955
5,1,sample 5 replicate 1,13,2.5,0.6,0.8285,24.0,32.4647
5,1,sample 5 replicate 1,14,2.5,0.65,0.9099,26.0,35.6544
5,1,sample 5 replicate 1,15,2.5,0.7,1.031,28.0,40.3997
5,1,sample 5 replicate 1,16,2.5,0.75,1.1499,30.0,45.0588
5,1,sample 5 replicate 1,17,2.5,0.8,1.2981,32.0,50.866
5,1,sample 5 replicate 1,18,2.5,0.85,1.4171,34.0,55.529
5,1,sample 5 replicate 1,19,2.5,0.9,1.5465,36.0,60.5995
5,1,sample 5 replicate 1,20,2.5,0.95,1.6842,38.0,65.9953
5,1,sample 5 replicate 1,21,2.5,1.0,1.8241,40.0,71.4773
5,1,sample 5 replicate 1,22,2.5,1.05,1.9764,42.0,77.4451
5,1,sample 5 replicate 1,23,2.5,1.1,2.1225,44.0,83.1701
5,1,sample 5 replicate 1,24,2.5,1.15,2.2811,46.0,89.3848
5,1,sample 5 replicate 1,25,2.5,1.2,2.4543,48.0,96.1716
5,1,sample 5 replicate 1,26,2.5,1.25,2.6463,50.0,103.6951
5,1,sample 5 replicate 1,27,2.5,1.3,2.8425,52.0,111.3832
5,1,sample 5 replicate 1,28,2.5,1.35,3.0554,54.0,119.7257
5,1,sample 5 replicate 1,29,2.5,1.4,3.2787,56.0,128.4757
5,1,sample 5 replicate 1,30,2.5,1.45,3.5145,58.0,137.7155
5,1,sample 5 replicate 1,31,2.5,1.5,3.7775,60.0,148.0212
5,1,sample 5 replicate 1,32,2.5,1.55,4.0217,62.0,157.5901
5,1,sample 5 replicate 1,33,2.5,1.6,4.3306,64.0,169.6944
5,1,sample 5 replicate 1,34,2.5,1.65,4.6332,66.0,181.5517
5,1,sample 5 replicate 1,35,2.5,1.7,4.9441,68.0,193.7343
5,1,sample 5 replicate 1,36,2.5,1.75,5.3302,70.0,208.8636
5,1,sample 5 replicate 1,37,2.5,1.8,5.7581,72.0,225.6309
5,1,sample 5 replicate 1,38,2.5,1.85,6.1859,74.0,242.3942
5,1,sample 5 replicate 1,39,2.5,1.9,6.6722,76.0,261.4498
5,1,sample 5 replicate 1,40,2.5,1.95,7.0207,78.0,275.1058
5,1,sample 5 replicate 1,41,2.5,2.0,7.5592,80.0,296.2069
5,1,sample 5 replicate 1,42,2.5,2.05,7.77,82.0,304.4671
5,1,sample 5 replicate 1,43,2.5,2.1,7.8096,84.0,306.0188
5,1,sample 5 replicate 1,44,2.5,2.15,8.3001,86.0,325.239
6,1,sample 6 replicate 1,1,4.099999999999998,0.0,-0.0376,0.0,-1.4734
6,1,sample 6 replicate 1,2,4.099999999999998,0.05,0.0564,1.2195,2.21
6,1,sample 6 replicate 1,3,4.099999999999998,0.1,0.0626,2.439,2.453
6,1,sample 6 replicate 1,4,4.099999999999998,0.15,0.0584,3.6585,2.2884
6,1,sample 6 replicate 1,5,4.099999999999998,0.2,0.071,4.878,2.7821
6,1,sample 6 replicate 1,6,4.099999999999998,0.25,0.0751,6.0976,2.9428
6,1,sample 6 replicate 1,7,4.099999999999998,0.3,0.0835,7.3171,3.2719
6,1,sample 6 replicate 1,8,4.099999999999998,0.35,0.0877,8.5366,3.4365
6,1,sample 6 replicate 1,9,4.099999999999998,0.4,0.0877,9.7561,3.4365
6,1,sample 6 replicate 1,10,4.099999999999998,0.45,0.0981,10.9756,3.844
6,1,sample 6 replicate 1,11,4.099999999999998,0.5,0.1085,12.1951,4.2516
6,1,sample 6 replicate 1,12,4.099999999999998,0.55,0.1002,13.4146,3.9263
6,1,sample 6 replicate 1,13,4.099999999999998,0.6,0.1106,14.6341,4.3339
6,1,sample 6 replicate 1,14,4.099999999999998,0.65,0.1273,15.8537,4.9882
6,1,sample 6 replicate 1,15,4.099999999999998,0.7,0.1336,17.0732,5.2351
6,1,sample 6 replicate 1,16,4.099999999999998,0.75,0.1273,18.2927,4.9882
6,1,sample 6 replicate 1,17,4.099999999999998,0.8,0.1294,19.5122,5.0705
6,1,sample 6 replicate 1,18,4.099999999999998,0.85,0.1273,20.7317,4.9882
6,1,sample 6 replicate 1,19,4.099999999999998,0.9,0.1398,21.9512,5.4781
6,1,sample 6 replicate 1,20,4.099999999999998,0.95,0.1252,23.1707,4.906
6,1,sample 6 replicate 1,21,4.099999999999998,1.0,0.1398,24.3902,5.4781
6,1,sample 6 replicate 1,22,4.099999999999998,1.05,0.1419,25.6098,5.5603
6,1,sample 6 replicate 1,23,4.099999999999998,1.1,0.1398,26.8293,5.4781
6,1,sample 6 replicate 1,24,4.099999999999998,1.15,0.1461,28.0488,5.7249
6,1,sample 6 replicate 1,25,4.099999999999998,1.2,0.1357,29.2683,5.3174
6,1,sample 6 replicate 1,26,4.099999999999998,1.25,0.1357,30.4878,5.3174
6,1,sample 6 replicate 1,27,4.099999999999998,1.3,0.1565,31.7073,6.1324
6,1,sample 6 replicate 1,28,4.099999999999998,1.35,0.1565,32.9268,6.1324
6,1,sample 6 replicate 1,29,4.099999999999998,1.4,0.1732,34.1463,6.7868
6,1,sample 6 replicate 1,30,4.099999999999998,1.45,0.1857,35.3659,7.2766
6,1,sample 6 replicate 1,31,4.099999999999998,1.5,0.1962,36.5854,7.6881
6,1,sample 6 replicate 1,32,4.099999999999998,1.55,0.2129,37.8049,8.3425
6,1,sample 6 replicate 1,33,4.099999999999998,1.6,0.2317,39.0244,9.0792
6,1,sample 6 replicate 1,34,4.099999999999998,1.65,0.3339,40.2439,13.0839
6,1,sample 6 replicate 1,35,4.099999999999998,1.7,0.4445,41.4634,17.4177
6,1,sample 6 replicate 1,36,4.099999999999998,1.75,0.5385,42.6829,21.1011
6,1,sample 6 replicate 1,37,4.099999999999998,1.8,0.6052,43.9024,23.7147
6,1,sample 6 replicate 1,38,4.099999999999998,1.85,0.7138,45.122,27.9702
6,1,sample 6 replicate 1,39,4.099999999999998,1.9,0.7972,46.3415,31.2382
6,1,sample 6 replicate 1,40,4.099999999999998,1.95,0.8724,47.561,34.185
6,1,sample 6 replicate 1,41,4.099999999999998,2.0,0.9955,48.7805,39.0086
6,1,sample 6 replicate 1,42,4.099999999999998,2.05,1.1207,50.0,43.9146
6,1,sample 6 replicate 1,43,4.099999999999998,2.1,1.248,51.2195,48.9028
6,1,sample 6 replicate 1,44,4.099999999999998,2.15,1.3566,52.439,53.1583
6,1,sample 6 replicate 1,45,4.099999999999998,2.2,1.4818,53.6585,58.0643
6,1,sample 6 replicate 1,46,4.099999999999998,2.25,1.6091,54.878,63.0525
6,1,sample 6 replicate 1,47,4.099999999999998,2.3,1.7447,56.0976,68.366
6,1,sample 6 replicate 1,48,4.099999999999998,2.35,1.895,57.3171,74.2555
6,1,sample 6 replicate 1,49,4.099999999999998,2.4,2.0411,58.5366,79.9804
6,1,sample 6 replicate 1,50,4.099999999999998,2.45,2.2018,59.7561,86.2774
6,1,sample 6 replicate 1,51,4.099999999999998,2.5,2.375,60.9756,93.0643
6,1,sample 6 replicate 1,52,4.099999999999998,2.55,2.5441,62.1951,99.6904
6,1,sample 6 replicate 1,53,4.099999999999998,2.6,2.7298,63.4146,106.9671
6,1,sample 6 replicate 1,54,4.099999999999998,2.65,2.9364,64.6341,115.0627
6,1,sample 6 replicate 1,55,4.099999999999998,2.7,3.1577,65.8537,123.7343
6,1,sample 6 replicate 1,56,4.099999999999998,2.75,3.3768,67.0732,132.3197
6,1,sample 6 replicate 1,57,4.099999999999998,2.8,3.6126,68.2927,141.5596
6,1,sample 6 replicate 1,58,4.099999999999998,2.85,3.8547,69.5122,151.0462
6,1,sample 6 replicate 1,59,4.099999999999998,2.9,4.1532,70.7317,162.7429
6,1,sample 6 replicate 1,60,4.099999999999998,2.95,4.412,71.9512,172.884
6,1,sample 6 replicate 1,61,4.099999999999998,3.0,4.7688,73.1707,186.8652
6,1,sample 6 replicate 1,62,4.099999999999998,3.05,5.0714,74.3902,198.7226
6,1,sample 6 replicate 1,63,4.099999999999998,3.1,5.4889,75.6098,215.0823
6,1,sample 6 replicate 1,64,4.099999999999998,3.15,5.6162,76.8293,220.0705
6,1,sample 6 replicate 1,65,4.099999999999998,3.2,6.1254,78.0488,240.0235
6,1,sample 6 replicate 1,66,4.099999999999998,3.25,6.6847,79.2683,261.9397
6,1,sample 6 replicate 1,67,4.099999999999998,3.3,6.9936,80.4878,274.0439
6,1,sample 6 replicate 1,68,4.099999999999998,3.35,7.4339,81.7073,291.297
6,1,sample 6 replicate 1,69,4.099999999999998,3.4,8.0058,82.9268,313.7069
