sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
6,1,sample 6 replicate 1,1,4.599999999999998,0.0,-0.073,0.0,-2.8605
6,1,sample 6 replicate 1,2,4.599999999999998,0.05,0.0772,1.087,3.0251
6,1,sample 6 replicate 1,3,4.599999999999998,0.1,0.0689,2.1739,2.6998
6,1,sample 6 replicate 1,4,4.599999999999998,0.15,0.0668,3.2609,2.6176
6,1,sample 6 replicate 1,5,4.599999999999998,0.2,0.0689,4.3478,2.6998
6,1,sample 6 replicate 1,6,4.599999999999998,0.25,0.0605,5.4348,2.3707
6,1,sample 6 replicate 1,7,4.599999999999998,0.3,0.0772,6.5217,3.0251
6,1,sample 6 replicate 1,8,4.599999999999998,0.35,0.0751,7.6087,2.9428
6,1,sample 6 replicate 1,9,4.599999999999998,0.4,0.0877,8.6957,3.4365
6,1,sample 6 replicate 1,10,4.599999999999998,0.45,0.0918,9.7826,3.5972
6,1,sample 6 replicate 1,11,4.599999999999998,0.5,0.0981,10.8696,3.844
6,1,sample 6 replicate 1,12,4.599999999999998,0.55,0.1169,11.9565,4.5807
6,1,sample 6 replicate 1,13,4.599999999999998,0.6,0.1064,13.0435,4.1693
6,1,sample 6 replicate 1,14,4.599999999999998,0.65,0.1085,14.1304,4.2516
6,1,sample 6 replicate 1,15,4.599999999999998,0.7,0.1273,15.2174,4.9882
6,1,sample 6 replicate 1,16,4.599999999999998,0.75,0.1357,16.3043,5.3174
6,1,sample 6 replicate 1,17,4.599999999999998,0.8,0.1419,17.3913,5.5603
6,1,sample 6 replicate 1,18,4.599999999999998,0.85,0.1461,18.4783,5.7249
6,1,sample 6 replicate 1,19,4.599999999999998,0.9,0.1482,19.5652,5.8072
6,1,sample 6 replicate 1,20,4.599999999999998,0.95,0.1586,20.6522,6.2147
6,1,sample 6 replicate 1,21,4.599999999999998,1.0,0.1607,21.7391,6.297
6,1,sample 6 replicate 1,22,4.599999999999998,1.05,0.167,22.8261,6.5439
6,1,sample 6 replicate 1,23,4.599999999999998,1.1,0.1649,23.913,6.4616
6,1,sample 6 replicate 1,24,4.599999999999998,1.15,0.167,25.0,6.5439
6,1,sample 6 replicate 1,25,4.599999999999998,1.2,0.1691,26.087,6.6262
6,1,sample 6 replicate 1,26,4.599999999999998,1.25,0.1691,27.1739,6.6262
6,1,sample 6 replicate 1,27,4.599999999999998,1.3,0.1732,28.2609,6.7868
6,1,sample 6 replicate 1,28,4.599999999999998,1.35,0.1691,29.3478,6.6262
6,1,sample 6 replicate 1,29,4.599999999999998,1.4,0.1711,30.4348,6.7045
6,1,sample 6 replicate 1,30,4.599999999999998,1.45,0.1711,31.5217,6.7045
6,1,sample 6 replicate 1,31,4.599999999999998,1.5,0.1711,32.6087,6.7045
6,1,sample 6 replicate 1,32,4.599999999999998,1.55,0.1711,33.6957,6.7045
6,1,sample 6 replicate 1,33,4.599999999999998,1.6,0.1732,34.7826,6.7868
6,1,sample 6 replicate 1,34,4.599999999999998,1.65,0.1711,35.8696,6.7045
6,1,sample 6 replicate 1,35,4.599999999999998,1.7,0.167,36.9565,6.5439
6,1,sample 6 replicate 1,36,4.599999999999998,1.75,0.1711,38.0435,6.7045
6,1,sample 6 replicate 1,37,4.599999999999998,1.8,0.1795,39.1304,7.0337
6,1,sample 6 replicate 1,38,4.599999999999998,1.85,0.1816,40.2174,7.116
6,1,sample 6 replicate 1,39,4.599999999999998,1.9,0.1878,41.3043,7.3589
6,1,sample 6 replicate 1,40,4.599999999999998,1.95,0.2024,42.3913,7.931
6,1,sample 6 replicate 1,41,4.599999999999998,2.0,0.2233,43.4783,8.75
