sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
6,1,sample 6 replicate 1,1,3.599999999999998,0.0,-0.1732,0.0,-6.7868
6,1,sample 6 replicate 1,2,3.599999999999998,0.05,0.169,1.3889,6.6223
6,1,sample 6 replicate 1,3,3.599999999999998,0.1,0.1962,2.7778,7.6881
6,1,sample 6 replicate 1,4,3.599999999999998,0.15,-0.4174,4.1667,-16.3558
6,1,sample 6 replicate 1,5,3.599999999999998,0.2,-0.0334,5.5556,-1.3088
6,1,sample 6 replicate 1,6,3.599999999999998,0.25,0.071,6.9444,2.7821
6,1,sample 6 replicate 1,7,3.599999999999998,0.3,0.0751,8.3333,2.9428
6,1,sample 6 replicate 1,8,3.599999999999998,0.35,0.0772,9.7222,3.0251
6,1,sample 6 replicate 1,9,3.599999999999998,0.4,0.0939,11.1111,3.6795
6,1,sample 6 replicate 1,10,3.599999999999998,0.45,0.0939,12.5,3.6795
6,1,sample 6 replicate 1,11,3.599999999999998,0.5,0.1064,13.8889,4.1693
6,1,sample 6 replicate 1,12,3.599999999999998,0.55,0.1023,15.2778,4.0086
6,1,sample 6 replicate 1,13,3.599999999999998,0.6,0.1023,16.6667,4.0086
6,1,sample 6 replicate 1,14,3.599999999999998,0.65,0.1064,18.0556,4.1693
6,1,sample 6 replicate 1,15,3.599999999999998,0.7,0.121,19.4444,4.7414
6,1,sample 6 replicate 1,16,3.599999999999998,0.75,0.1315,20.8333,5.1528
6,1,sample 6 replicate 1,17,3.599999999999998,0.8,0.1503,22.2222,5.8895
6,1,sample 6 replicate 1,18,3.599999999999998,0.85,0.144,23.6111,5.6426
6,1,sample 6 replicate 1,19,3.599999999999998,0.9,0.1607,25.0,6.297
6,1,sample 6 replicate 1,20,3.599999999999998,0.95,0.1711,26.3889,6.7045
6,1,sample 6 replicate 1,21,3.599999999999998,1.0,0.1816,27.7778,7.116
6,1,sample 6 replicate 1,22,3.599999999999998,1.05,0.1983,29.1667,7.7704
6,1,sample 6 replicate 1,23,3.599999999999998,1.1,0.2379,30.5556,9.3221
6,1,sample 6 replicate 1,24,3.599999999999998,1.15,0.3047,31.9444,11.9397
6,1,sample 6 replicate 1,25,3.599999999999998,1.2,0.4237,33.3333,16.6027
6,1,sample 6 replicate 1,26,3.599999999999998,1.25,0.4946,34.7222,19.3809
6,1,sample 6 replicate 1,27,3.599999999999998,1.3,0.5885,36.1111,23.0603
6,1,sample 6 replicate 1,28,3.599999999999998,1.35,0.6866,37.5,26.9044
6,1,sample 6 replicate 1,29,3.599999999999998,1.4,0.7451,38.8889,29.1967
6,1,sample 6 replicate 1,30,3.599999999999998,1.45,0.8411,40.2778,32.9585
6,1,sample 6 replicate 1,31,3.599999999999998,1.5,0.9642,41.6667,37.7821
6,1,sample 6 replicate 1,32,3.599999999999998,1.55,1.0623,43.0556,41.6262
6,1,sample 6 replicate 1,33,3.599999999999998,1.6,1.1583,44.4444,45.3879
6,1,sample 6 replicate 1,34,3.599999999999998,1.65,1.296,45.8333,50.7837
6,1,sample 6 replicate 1,35,3.599999999999998,1.7,1.4087,47.2222,55.1998
6,1,sample 6 replicate 1,36,3.599999999999998,1.75,1.5277,48.6111,59.8629
6,1,sample 6 replicate 1,37,3.599999999999998,1.8,1.6613,50.0,65.098
6,1,sample 6 replicate 1,38,3.599999999999998,1.85,1.8053,51.3889,70.7406
6,1,sample 6 replicate 1,39,3.599999999999998,1.9,1.9305,52.7778,75.6466
6,1,sample 6 replicate 1,40,3.599999999999998,1.95,2.0808,54.1667,81.5361
6,1,sample 6 replicate 1,41,3.599999999999998,2.0,2.2456,55.5556,87.9937
6,1,sample 6 replicate 1,42,3.599999999999998,2.05,2.4063,56.9444,94.2908
6,1,sample 6 replicate 1,43,3.599999999999998,2.1,2.5837,58.3333,101.2422
6,1,sample 6 replicate 1,44,3.599999999999998,2.15,2.7736,59.7222,108.6834
6,1,sample 6 replicate 1,45,3.599999999999998,2.2,2.9782,61.1111,116.7006
6,1,sample 6 replicate 1,46,3.599999999999998,2.25,3.1597,62.5,123.8127
6,1,sample 6 replicate 1,47,3.599999999999998,2.3,3.3893,63.8889,132.8096
6,1,sample 6 replicate 1,48,3.599999999999998,2.35,3.6502,65.2778,143.0329
6,1,sample 6 replicate 1,49,3.599999999999998,2.4,3.9257,66.6667,153.8284
6,1,sample 6 replicate 1,50,3.599999999999998,2.45,4.2492,68.0556,166.5047
6,1,sample 6 replicate 1,51,3.599999999999998,2.5,4.6248,69.4444,181.2226
6,1,sample 6 replicate 1,52,3.599999999999998,2.55,5.0109,70.8333,196.3519
6,1,sample 6 replicate 1,53,3.599999999999998,2.6,5.3135,72.2222,208.2092
6,1,sample 6 replicate 1,54,3.599999999999998,2.65,5.8249,73.6111,228.2484
6,1,sample 6 replicate 1,55,3.599999999999998,2.7,6.3174,75.0,247.547
6,1,sample 6 replicate 1,56,3.599999999999998,2.75,6.6492,76.3889,260.5486
6,1,sample 6 replicate 1,57,3.599999999999998,2.8,7.1877,77.7778,281.6497
6,1,sample 6 replicate 1,58,3.599999999999998,2.85,7.6802,79.1667,300.9483
6,1,sample 6 replicate 1,59,3.599999999999998,2.9,7.9578,80.5556,311.826
6,1,sample 6 replicate 1,60,3.599999999999998,2.95,8.4775,81.9444,332.1904
