sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,2,sample 4 replicate 2,1,2.4499999999999993,0.0,0.0188,0.0,0.7367
4,2,sample 4 replicate 2,2,2.4499999999999993,0.05,0.0376,2.0408,1.4734
4,2,sample 4 replicate 2,3,2.4499999999999993,0.1,0.0647,4.0816,2.5353
4,2,sample 4 replicate 2,4,2.4499999999999993,0.15,0.1252,6.1224,4.906
4,2,sample 4 replicate 2,5,2.4499999999999993,0.2,0.1753,8.1633,6.8691
4,2,sample 4 replicate 2,6,2.4499999999999993,0.25,0.2087,10.2041,8.1779
4,2,sample 4 replicate 2,7,2.4499999999999993,0.3,0.2817,12.2449,11.0384
4,2,sample 4 replicate 2,8,2.4499999999999993,0.35,0.3277,14.2857,12.8409
4,2,sample 4 replicate 2,9,2.4499999999999993,0.4,0.3965,16.3265,15.5368
4,2,sample 4 replicate 2,10,2.4499999999999993,0.45,0.4508,18.3673,17.6646
4,2,sample 4 replicate 2,11,2.4499999999999993,0.5,0.4946,20.4082,19.3809
4,2,sample 4 replicate 2,12,2.4499999999999993,0.55,0.5698,22.449,22.3276
4,2,sample 4 replicate 2,13,2.4499999999999993,0.6,0.6073,24.4898,23.797
4,2,sample 4 replicate 2,14,2.4499999999999993,0.65,0.6741,26.5306,26.4146
4,2,sample 4 replicate 2,15,2.4499999999999993,0.7,0.7159,28.5714,28.0525
4,2,sample 4 replicate 2,16,2.4499999999999993,0.75,0.743,30.6122,29.1144
4,2,sample 4 replicate 2,17,2.4499999999999993,0.8,0.8265,32.6531,32.3864
4,2,sample 4 replicate 2,18,2.4499999999999993,0.85,0.8619,34.6939,33.7735
4,2,sample 4 replicate 2,19,2.4499999999999993,0.9,0.9162,36.7347,35.9013
4,2,sample 4 replicate 2,20,2.4499999999999993,0.95,0.9872,38.7755,38.6834
4,2,sample 4 replicate 2,21,2.4499999999999993,1.0,1.0352,40.8163,40.5643
4,2,sample 4 replicate 2,22,2.4499999999999993,1.05,1.1207,42.8571,43.9146
4,2,sample 4 replicate 2,23,2.4499999999999993,1.1,1.1792,44.898,46.2069
4,2,sample 4 replicate 2,24,2.4499999999999993,1.15,1.2752,46.9388,49.9687
4,2,sample 4 replicate 2,25,2.4499999999999993,1.2,1.3399,48.9796,52.5039
4,2,sample 4 replicate 2,26,2.4499999999999993,1.25,1.4213,51.0204,55.6936
4,2,sample 4 replicate 2,27,2.4499999999999993,1.3,1.5047,53.0612,58.9616
4,2,sample 4 replicate 2,28,2.4499999999999993,1.35,1.5966,55.102,62.5627
4,2,sample 4 replicate 2,29,2.4499999999999993,1.4,1.6967,57.1429,66.4851
4,2,sample 4 replicate 2,30,2.4499999999999993,1.45,1.8074,59.1837,70.8229
4,2,sample 4 replicate 2,31,2.4499999999999993,1.5,1.9034,61.2245,74.5846
4,2,sample 4 replicate 2,32,2.4499999999999993,1.55,2.0286,63.2653,79.4906
4,2,sample 4 replicate 2,33,2.4499999999999993,1.6,2.1517,65.3061,84.3143
4,2,sample 4 replicate 2,34,2.4499999999999993,1.65,2.2874,67.3469,89.6317
4,2,sample 4 replicate 2,35,2.4499999999999993,1.7,2.423,69.3878,94.9451
4,2,sample 4 replicate 2,36,2.4499999999999993,1.75,2.5629,71.4286,100.4271
4,2,sample 4 replicate 2,37,2.4499999999999993,1.8,2.7194,73.4694,106.5596
4,2,sample 4 replicate 2,38,2.4499999999999993,1.85,2.9114,75.5102,114.0831
4,2,sample 4 replicate 2,39,2.4499999999999993,1.9,3.0909,77.551,121.1168
4,2,sample 4 replicate 2,40,2.4499999999999993,1.95,3.3163,79.5918,129.9491
4,2,sample 4 replicate 2,41,2.4499999999999993,2.0,3.4603,81.6327,135.5917
4,2,sample 4 replicate 2,42,2.4499999999999993,2.05,3.7712,83.6735,147.7743
4,2,sample 4 replicate 2,43,2.4499999999999993,2.1,4.0572,85.7143,158.9812
4,2,sample 4 replicate 2,44,2.4499999999999993,2.15,4.3765,87.7551,171.4929
4,2,sample 4 replicate 2,45,2.4499999999999993,2.2,4.7793,89.7959,187.2766
4,2,sample 4 replicate 2,46,2.4499999999999993,2.25,5.2029,91.8367,203.8754
4,2,sample 4 replicate 2,47,2.4499999999999993,2.3,5.8019,93.8776,227.3472
4,2,sample 4 replicate 2,48,2.4499999999999993,2.35,3.3309,95.9184,130.5212
5,2,sample 5 replicate 2,1,2.349999999999998,0.0,-0.0042,0.0,-0.1646
5,2,sample 5 replicate 2,2,2.349999999999998,0.05,0.0063,2.1277,0.2469
5,2,sample 5 replicate 2,3,2.349999999999998,0.1,0.0543,4.2553,2.1277
5,2,sample 5 replicate 2,4,2.349999999999998,0.15,0.1106,6.383,4.3339
5,2,sample 5 replicate 2,5,2.349999999999998,0.2,0.1607,8.5106,6.297
5,2,sample 5 replicate 2,6,2.349999999999998,0.25,0.1962,10.6383,7.6881
5,2,sample 5 replicate 2,7,2.349999999999998,0.3,0.2484,12.766,9.7335
5,2,sample 5 replicate 2,8,2.349999999999998,0.35,0.3151,14.8936,12.3472
5,2,sample 5 replicate 2,9,2.349999999999998,0.4,0.3527,17.0213,13.8205
5,2,sample 5 replicate 2,10,2.349999999999998,0.45,0.4258,19.1489,16.685
5,2,sample 5 replicate 2,11,2.349999999999998,0.5,0.4675,21.2766,18.319
5,2,sample 5 replicate 2,12,2.349999999999998,0.55,0.5218,23.4043,20.4467
5,2,sample 5 replicate 2,13,2.349999999999998,0.6,0.5844,25.5319,22.8997
5,2,sample 5 replicate 2,14,2.349999999999998,0.65,0.6198,27.6596,24.2868
5,2,sample 5 replicate 2,15,2.349999999999998,0.7,0.6929,29.7872,27.1513
5,2,sample 5 replicate 2,16,2.349999999999998,0.75,0.7221,31.9149,28.2955
5,2,sample 5 replicate 2,17,2.349999999999998,0.8,0.7451,34.0426,29.1967
5,2,sample 5 replicate 2,18,2.349999999999998,0.85,0.839,36.1702,32.8762
5,2,sample 5 replicate 2,19,2.349999999999998,0.9,0.8661,38.2979,33.9381
5,2,sample 5 replicate 2,20,2.349999999999998,0.95,0.9308,40.4255,36.4734
