sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,1,sample 1 replicate 1,1,4.599999999999998,0.0,0.2588,0.0,10.1411
1,1,sample 1 replicate 1,2,4.599999999999998,0.05,0.7993,1.087,31.3205
1,1,sample 1 replicate 1,3,4.599999999999998,0.1,-0.503,2.1739,-19.71
1,1,sample 1 replicate 1,4,4.599999999999998,0.15,0.4028,3.2609,15.7837
1,1,sample 1 replicate 1,5,4.599999999999998,0.2,0.9245,4.3478,36.2265
1,1,sample 1 replicate 1,6,4.599999999999998,0.25,0.8786,5.4348,34.4279
1,1,sample 1 replicate 1,7,4.599999999999998,0.3,0.887,6.5217,34.7571
1,1,sample 1 replicate 1,8,4.599999999999998,0.35,0.8912,7.6087,34.9216
1,1,sample 1 replicate 1,9,4.599999999999998,0.4,0.8828,8.6957,34.5925
1,1,sample 1 replicate 1,10,4.599999999999998,0.45,0.8849,9.7826,34.6748
1,1,sample 1 replicate 1,11,4.599999999999998,0.5,0.8598,10.8696,33.6912
1,1,sample 1 replicate 1,12,4.599999999999998,0.55,0.8432,11.9565,33.0408
1,1,sample 1 replicate 1,13,4.599999999999998,0.6,0.7764,13.0435,30.4232
1,1,sample 1 replicate 1,14,4.599999999999998,0.65,0.6845,14.1304,26.8221
1,1,sample 1 replicate 1,15,4.599999999999998,0.7,0.7096,15.2174,27.8056
1,1,sample 1 replicate 1,16,4.599999999999998,0.75,0.743,16.3043,29.1144
1,1,sample 1 replicate 1,17,4.599999999999998,0.8,0.5677,17.3913,22.2453
1,1,sample 1 replicate 1,18,4.599999999999998,0.85,0.4654,18.4783,18.2367
1,1,sample 1 replicate 1,19,4.599999999999998,0.9,0.8953,19.5652,35.0823
1,1,sample 1 replicate 1,20,4.599999999999998,0.95,0.816,20.6522,31.9749
1,1,sample 1 replicate 1,21,4.599999999999998,1.0,0.9538,21.7391,37.3746
1,1,sample 1 replicate 1,22,4.599999999999998,1.05,0.9663,22.8261,37.8644
1,1,sample 1 replicate 1,23,4.599999999999998,1.1,0.9705,23.913,38.029
1,1,sample 1 replicate 1,24,4.599999999999998,1.15,0.983,25.0,38.5188
1,1,sample 1 replicate 1,25,4.599999999999998,1.2,0.9934,26.087,38.9263
1,1,sample 1 replicate 1,26,4.599999999999998,1.25,1.0018,27.1739,39.2555
1,1,sample 1 replicate 1,27,4.599999999999998,1.3,0.9892,28.2609,38.7618
1,1,sample 1 replicate 1,28,4.599999999999998,1.35,1.0185,29.3478,39.9099
1,1,sample 1 replicate 1,29,4.599999999999998,1.4,1.0268,30.4348,40.2351
1,1,sample 1 replicate 1,30,4.599999999999998,1.45,1.0122,31.5217,39.663
1,1,sample 1 replicate 1,31,4.599999999999998,1.5,1.0581,32.6087,41.4616
1,1,sample 1 replicate 1,32,4.599999999999998,1.55,1.1082,33.6957,43.4248
1,1,sample 1 replicate 1,33,4.599999999999998,1.6,1.1145,34.7826,43.6716
1,1,sample 1 replicate 1,34,4.599999999999998,1.65,1.1228,35.8696,43.9969
1,1,sample 1 replicate 1,35,4.599999999999998,1.7,1.1249,36.9565,44.0792
1,1,sample 1 replicate 1,36,4.599999999999998,1.75,1.1437,38.0435,44.8158
