sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,3,sample 1 replicate 3,1,4.599999999999998,0.0,-0.8327,0.0,-32.6293
1,3,sample 1 replicate 3,2,4.599999999999998,0.05,-0.6324,1.087,-24.7806
1,3,sample 1 replicate 3,3,4.599999999999998,0.1,-0.3527,2.1739,-13.8205
1,3,sample 1 replicate 3,4,4.599999999999998,0.15,0.096,3.2609,3.7618
1,3,sample 1 replicate 3,5,4.599999999999998,0.2,-0.4007,4.3478,-15.7014
1,3,sample 1 replicate 3,6,4.599999999999998,0.25,-0.3861,5.4348,-15.1293
1,3,sample 1 replicate 3,7,4.599999999999998,0.3,-0.2525,6.5217,-9.8942
1,3,sample 1 replicate 3,8,4.599999999999998,0.35,-0.0021,7.6087,-0.0823
1,3,sample 1 replicate 3,9,4.599999999999998,0.4,-0.0063,8.6957,-0.2469
1,3,sample 1 replicate 3,10,4.599999999999998,0.45,-0.4216,9.7826,-16.5204
1,3,sample 1 replicate 3,11,4.599999999999998,0.5,0.2525,10.8696,9.8942
1,3,sample 1 replicate 3,12,4.599999999999998,0.55,0.7826,11.9565,30.6661
1,3,sample 1 replicate 3,13,4.599999999999998,0.6,0.3694,13.0435,14.4749
2,3,sample 2 replicate 3,1,4.449999999999999,0.0,-0.4696,0.0,-18.4013
2,3,sample 2 replicate 3,2,4.449999999999999,0.05,-0.1524,1.1236,-5.9718
2,3,sample 2 replicate 3,3,4.449999999999999,0.1,-0.0271,2.2472,-1.0619
2,3,sample 2 replicate 3,4,4.449999999999999,0.15,0.1231,3.3708,4.8237
2,3,sample 2 replicate 3,5,4.449999999999999,0.2,0.1837,4.4944,7.1983
2,3,sample 2 replicate 3,6,4.449999999999999,0.25,-0.1419,5.618,-5.5603
2,3,sample 2 replicate 3,7,4.449999999999999,0.3,-0.2233,6.7416,-8.75
2,3,sample 2 replicate 3,8,4.449999999999999,0.35,-0.0209,7.8652,-0.819
2,3,sample 2 replicate 3,9,4.449999999999999,0.4,0.2817,8.9888,11.0384
2,3,sample 2 replicate 3,10,4.449999999999999,0.45,0.8849,10.1124,34.6748
2,3,sample 2 replicate 3,11,4.449999999999999,0.5,1.9326,11.236,75.7288
2,3,sample 2 replicate 3,12,4.449999999999999,0.55,1.7698,12.3596,69.3495
2,3,sample 2 replicate 3,13,4.449999999999999,0.6,1.7406,13.4831,68.2053
2,3,sample 2 replicate 3,14,4.449999999999999,0.65,1.7427,14.6067,68.2876
2,3,sample 2 replicate 3,15,4.449999999999999,0.7,1.7468,15.7303,68.4483
2,3,sample 2 replicate 3,16,4.449999999999999,0.75,1.7552,16.8539,68.7774
