sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,1,sample 4 replicate 1,1,0.6500000000000021,0.0,0.0188,0.0,0.7367
4,1,sample 4 replicate 1,2,0.6500000000000021,0.05,0.023,7.6923,0.9013
4,1,sample 4 replicate 1,3,0.6500000000000021,0.1,0.0355,15.3846,1.3911
4,1,sample 4 replicate 1,4,0.6500000000000021,0.15,0.0564,23.0769,2.21
4,1,sample 4 replicate 1,5,0.6500000000000021,0.2,0.0939,30.7692,3.6795
4,1,sample 4 replicate 1,6,0.6500000000000021,0.25,0.1315,38.4615,5.1528
4,1,sample 4 replicate 1,7,0.6500000000000021,0.3,0.167,46.1538,6.5439
4,1,sample 4 replicate 1,8,0.6500000000000021,0.35,0.2797,53.8462,10.96
4,1,sample 4 replicate 1,9,0.6500000000000021,0.4,0.4049,61.5385,15.866
4,1,sample 4 replicate 1,10,0.6500000000000021,0.45,0.9809,69.2308,38.4365
4,1,sample 4 replicate 1,11,0.6500000000000021,0.5,1.9472,76.9231,76.3009
4,1,sample 4 replicate 1,12,0.6500000000000021,0.55,2.878,84.6154,112.7743
4,1,sample 4 replicate 1,13,0.6500000000000021,0.6,3.6606,92.3077,143.4404
4,1,sample 4 replicate 1,14,0.6500000000000021,0.65,4.4036,100.0,172.5549
4,1,sample 4 replicate 1,15,0.6500000000000021,0.7,5.1403,107.6923,201.4224
5,1,sample 5 replicate 1,1,0.34999999999999787,0.0,0.0063,0.0,0.2469
5,1,sample 5 replicate 1,2,0.34999999999999787,0.05,0.0209,14.2857,0.819
5,1,sample 5 replicate 1,3,0.34999999999999787,0.1,0.0438,28.5714,1.7163
5,1,sample 5 replicate 1,4,0.34999999999999787,0.15,0.1816,42.8571,7.116
5,1,sample 5 replicate 1,5,0.34999999999999787,0.2,0.9037,57.1429,35.4114
5,1,sample 5 replicate 1,6,0.34999999999999787,0.25,1.6508,71.4286,64.6865
5,1,sample 5 replicate 1,7,0.34999999999999787,0.3,2.3792,85.7143,93.2288
5,1,sample 5 replicate 1,8,0.34999999999999787,0.35,3.0971,100.0,121.3597
5,1,sample 5 replicate 1,9,0.34999999999999787,0.4,3.7817,114.2857,148.1857
5,1,sample 5 replicate 1,10,0.34999999999999787,0.45,4.4683,128.5714,175.0901
5,1,sample 5 replicate 1,11,0.34999999999999787,0.5,5.2092,142.8571,204.1223
6,1,sample 6 replicate 1,1,0.5,0.0,0.0146,0.0,0.5721
6,1,sample 6 replicate 1,2,0.5,0.05,0.023,10.0,0.9013
6,1,sample 6 replicate 1,3,0.5,0.1,0.0355,20.0,1.3911
6,1,sample 6 replicate 1,4,0.5,0.15,0.0814,30.0,3.1897
6,1,sample 6 replicate 1,5,0.5,0.2,0.1857,40.0,7.2766
6,1,sample 6 replicate 1,6,0.5,0.25,0.7743,50.0,30.3409
6,1,sample 6 replicate 1,7,0.5,0.3,1.1604,60.0,45.4702
6,1,sample 6 replicate 1,8,0.5,0.35,1.6947,70.0,66.4067
6,1,sample 6 replicate 1,9,0.5,0.4,2.2832,80.0,89.4671
6,1,sample 6 replicate 1,10,0.5,0.45,2.759,90.0,108.1113
6,1,sample 6 replicate 1,11,0.5,0.5,3.3684,100.0,131.9906
6,1,sample 6 replicate 1,12,0.5,0.55,3.9486,110.0,154.7257
6,1,sample 6 replicate 1,13,0.5,0.6,4.5893,120.0,179.8315
6,1,sample 6 replicate 1,14,0.5,0.65,5.2968,130.0,207.5549
4,2,sample 4 replicate 2,1,2.150000000000002,0.0,0.0355,0.0,1.3911
4,2,sample 4 replicate 2,2,2.150000000000002,0.05,0.0417,2.3256,1.634
4,2,sample 4 replicate 2,3,2.150000000000002,0.1,0.0459,4.6512,1.7986
4,2,sample 4 replicate 2,4,2.150000000000002,0.15,0.0605,6.9767,2.3707
4,2,sample 4 replicate 2,5,2.150000000000002,0.2,0.0814,9.3023,3.1897
4,2,sample 4 replicate 2,6,2.150000000000002,0.25,0.0814,11.6279,3.1897
4,2,sample 4 replicate 2,7,2.150000000000002,0.3,0.0814,13.9535,3.1897
4,2,sample 4 replicate 2,8,2.150000000000002,0.35,0.0918,16.2791,3.5972
4,2,sample 4 replicate 2,9,2.150000000000002,0.4,0.096,18.6047,3.7618
4,2,sample 4 replicate 2,10,2.150000000000002,0.45,0.1064,20.9302,4.1693
4,2,sample 4 replicate 2,11,2.150000000000002,0.5,0.1127,23.2558,4.4161
4,2,sample 4 replicate 2,12,2.150000000000002,0.55,0.1231,25.5814,4.8237
4,2,sample 4 replicate 2,13,2.150000000000002,0.6,0.121,27.907,4.7414
4,2,sample 4 replicate 2,14,2.150000000000002,0.65,0.1294,30.2326,5.0705
4,2,sample 4 replicate 2,15,2.150000000000002,0.7,0.1336,32.5581,5.2351
4,2,sample 4 replicate 2,16,2.150000000000002,0.75,0.1419,34.8837,5.5603
4,2,sample 4 replicate 2,17,2.150000000000002,0.8,0.1419,37.2093,5.5603
4,2,sample 4 replicate 2,18,2.150000000000002,0.85,0.1461,39.5349,5.7249
4,2,sample 4 replicate 2,19,2.150000000000002,0.9,0.1482,41.8605,5.8072
4,2,sample 4 replicate 2,20,2.150000000000002,0.95,0.1524,44.186,5.9718
4,2,sample 4 replicate 2,21,2.150000000000002,1.0,0.1565,46.5116,6.1324
