sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
3,5,sample 3 replicate 5,1,1.5,0.0,0.0334,0.0,1.3088
3,5,sample 3 replicate 5,2,1.5,0.05,0.0417,3.3333,1.634
3,5,sample 3 replicate 5,3,1.5,0.1,0.0564,6.6667,2.21
3,5,sample 3 replicate 5,4,1.5,0.15,0.0605,10.0,2.3707
3,5,sample 3 replicate 5,5,1.5,0.2,0.0772,13.3333,3.0251
3,5,sample 3 replicate 5,6,1.5,0.25,0.1002,16.6667,3.9263
3,5,sample 3 replicate 5,7,1.5,0.3,0.1023,20.0,4.0086
3,5,sample 3 replicate 5,8,1.5,0.35,0.1231,23.3333,4.8237
3,5,sample 3 replicate 5,9,1.5,0.4,0.121,26.6667,4.7414
3,5,sample 3 replicate 5,10,1.5,0.45,0.1377,30.0,5.3958
3,5,sample 3 replicate 5,11,1.5,0.5,0.1524,33.3333,5.9718
3,5,sample 3 replicate 5,12,1.5,0.55,0.1628,36.6667,6.3793
3,5,sample 3 replicate 5,13,1.5,0.6,0.1628,40.0,6.3793
3,5,sample 3 replicate 5,14,1.5,0.65,0.2024,43.3333,7.931
3,5,sample 3 replicate 5,15,1.5,0.7,0.2358,46.6667,9.2398
3,5,sample 3 replicate 5,16,1.5,0.75,0.2755,50.0,10.7955
3,5,sample 3 replicate 5,17,1.5,0.8,0.2901,53.3333,11.3676
3,5,sample 3 replicate 5,18,1.5,0.85,0.3298,56.6667,12.9232
3,5,sample 3 replicate 5,19,1.5,0.9,0.4258,60.0,16.685
3,5,sample 3 replicate 5,20,1.5,0.95,0.1043,63.3333,4.087
4,5,sample 4 replicate 5,1,1.5,0.0,0.0376,0.0,1.4734
4,5,sample 4 replicate 5,2,1.5,0.05,0.0438,3.3333,1.7163
4,5,sample 4 replicate 5,3,1.5,0.1,0.0501,6.6667,1.9632
4,5,sample 4 replicate 5,4,1.5,0.15,0.0647,10.0,2.5353
4,5,sample 4 replicate 5,5,1.5,0.2,0.071,13.3333,2.7821
4,5,sample 4 replicate 5,6,1.5,0.25,0.1064,16.6667,4.1693
4,5,sample 4 replicate 5,7,1.5,0.3,0.119,20.0,4.663
4,5,sample 4 replicate 5,8,1.5,0.35,0.1252,23.3333,4.906
4,5,sample 4 replicate 5,9,1.5,0.4,0.1252,26.6667,4.906
4,5,sample 4 replicate 5,10,1.5,0.45,0.1524,30.0,5.9718
4,5,sample 4 replicate 5,11,1.5,0.5,0.1544,33.3333,6.0502
4,5,sample 4 replicate 5,12,1.5,0.55,0.1711,36.6667,6.7045
4,5,sample 4 replicate 5,13,1.5,0.6,0.169,40.0,6.6223
4,5,sample 4 replicate 5,14,1.5,0.65,0.2108,43.3333,8.2602
4,5,sample 4 replicate 5,15,1.5,0.7,0.2254,46.6667,8.8323
4,5,sample 4 replicate 5,16,1.5,0.75,0.2776,50.0,10.8777
4,5,sample 4 replicate 5,17,1.5,0.8,0.2984,53.3333,11.6928
4,5,sample 4 replicate 5,18,1.5,0.85,0.1816,56.6667,7.116
5,5,sample 5 replicate 5,1,1.8000000000000007,0.0,0.0271,0.0,1.0619
5,5,sample 5 replicate 5,2,1.8000000000000007,0.05,0.0376,2.7778,1.4734
5,5,sample 5 replicate 5,3,1.8000000000000007,0.1,0.0396,5.5556,1.5517
5,5,sample 5 replicate 5,4,1.8000000000000007,0.15,0.0522,8.3333,2.0455
5,5,sample 5 replicate 5,5,1.8000000000000007,0.2,0.0522,11.1111,2.0455
5,5,sample 5 replicate 5,6,1.8000000000000007,0.25,0.0751,13.8889,2.9428
5,5,sample 5 replicate 5,7,1.8000000000000007,0.3,0.0814,16.6667,3.1897
5,5,sample 5 replicate 5,8,1.8000000000000007,0.35,0.0918,19.4444,3.5972
5,5,sample 5 replicate 5,9,1.8000000000000007,0.4,0.1023,22.2222,4.0086
5,5,sample 5 replicate 5,10,1.8000000000000007,0.45,0.1252,25.0,4.906
5,5,sample 5 replicate 5,11,1.8000000000000007,0.5,0.1315,27.7778,5.1528
5,5,sample 5 replicate 5,12,1.8000000000000007,0.55,0.144,30.5556,5.6426
5,5,sample 5 replicate 5,13,1.8000000000000007,0.6,0.1419,33.3333,5.5603
5,5,sample 5 replicate 5,14,1.8000000000000007,0.65,0.1544,36.1111,6.0502
5,5,sample 5 replicate 5,15,1.8000000000000007,0.7,0.1628,38.8889,6.3793
5,5,sample 5 replicate 5,16,1.8000000000000007,0.75,0.1711,41.6667,6.7045
5,5,sample 5 replicate 5,17,1.8000000000000007,0.8,0.1899,44.4444,7.4412
5,5,sample 5 replicate 5,18,1.8000000000000007,0.85,0.2191,47.2222,8.5854
5,5,sample 5 replicate 5,19,1.8000000000000007,0.9,0.2546,50.0,9.9765
5,5,sample 5 replicate 5,20,1.8000000000000007,0.95,0.2859,52.7778,11.203
5,5,sample 5 replicate 5,21,1.8000000000000007,1.0,0.311,55.5556,12.1865
5,5,sample 5 replicate 5,22,1.8000000000000007,1.05,0.4216,58.3333,16.5204
5,5,sample 5 replicate 5,23,1.8000000000000007,1.1,0.5364,61.1111,21.0188
5,5,sample 5 replicate 5,24,1.8000000000000007,1.15,0.121,63.8889,4.7414
3,6,sample 3 replicate 6,1,2.5,0.0,0.0209,0.0,0.819
3,6,sample 3 replicate 6,2,2.5,0.05,0.0334,2.0,1.3088
3,6,sample 3 replicate 6,3,2.5,0.1,0.0396,4.0,1.5517
3,6,sample 3 replicate 6,4,2.5,0.15,0.071,6.0,2.7821
3,6,sample 3 replicate 6,5,2.5,0.2,0.0918,8.0,3.5972
3,6,sample 3 replicate 6,6,2.5,0.25,0.1064,10.0,4.1693
3,6,sample 3 replicate 6,7,2.5,0.3,0.119,12.0,4.663
3,6,sample 3 replicate 6,8,2.5,0.35,0.1336,14.0,5.2351
3,6,sample 3 replicate 6,9,2.5,0.4,0.144,16.0,5.6426
3,6,sample 3 replicate 6,10,2.5,0.45,0.1524,18.0,5.9718
3,6,sample 3 replicate 6,11,2.5,0.5,0.1607,20.0,6.297
3,6,sample 3 replicate 6,12,2.5,0.55,0.1711,22.0,6.7045
3,6,sample 3 replicate 6,13,2.5,0.6,0.1857,24.0,7.2766
3,6,sample 3 replicate 6,14,2.5,0.65,0.2066,26.0,8.0956
3,6,sample 3 replicate 6,15,2.5,0.7,0.2317,28.0,9.0792
3,6,sample 3 replicate 6,16,2.5,0.75,0.2588,30.0,10.1411
3,6,sample 3 replicate 6,17,2.5,0.8,0.2671,32.0,10.4663
3,6,sample 3 replicate 6,18,2.5,0.85,0.2817,34.0,11.0384
3,6,sample 3 replicate 6,19,2.5,0.9,0.288,36.0,11.2853
3,6,sample 3 replicate 6,20,2.5,0.95,0.2984,38.0,11.6928
3,6,sample 3 replicate 6,21,2.5,1.0,0.3151,40.0,12.3472
3,6,sample 3 replicate 6,22,2.5,1.05,0.3652,42.0,14.3103
3,6,sample 3 replicate 6,23,2.5,1.1,0.4049,44.0,15.866
3,6,sample 3 replicate 6,24,2.5,1.15,0.4174,46.0,16.3558
3,6,sample 3 replicate 6,25,2.5,1.2,0.4362,48.0,17.0925
3,6,sample 3 replicate 6,26,2.5,1.25,0.4904,50.0,19.2163
3,6,sample 3 replicate 6,27,2.5,1.3,0.5405,52.0,21.1795
3,6,sample 3 replicate 6,28,2.5,1.35,0.5677,54.0,22.2453
3,6,sample 3 replicate 6,29,2.5,1.4,0.6303,56.0,24.6983
3,6,sample 3 replicate 6,30,2.5,1.45,0.6866,58.0,26.9044
3,6,sample 3 replicate 6,31,2.5,1.5,0.7325,60.0,28.703
3,6,sample 3 replicate 6,32,2.5,1.55,0.8265,62.0,32.3864
3,6,sample 3 replicate 6,33,2.5,1.6,0.8932,64.0,35.0
3,6,sample 3 replicate 6,34,2.5,1.65,0.9872,66.0,38.6834
3,6,sample 3 replicate 6,35,2.5,1.7,1.1103,68.0,43.5071
3,6,sample 3 replicate 6,36,2.5,1.75,1.2313,70.0,48.2484
3,6,sample 3 replicate 6,37,2.5,1.8,1.4066,72.0,55.1176
3,6,sample 3 replicate 6,38,2.5,1.85,1.6133,74.0,63.2171
3,6,sample 3 replicate 6,39,2.5,1.9,1.8658,76.0,73.1113
3,6,sample 3 replicate 6,40,2.5,1.95,2.1496,78.0,84.232
3,6,sample 3 replicate 6,41,2.5,2.0,2.4919,80.0,97.645
3,6,sample 3 replicate 6,42,2.5,2.05,2.8989,82.0,113.5933
3,6,sample 3 replicate 6,43,2.5,2.1,3.3455,84.0,131.0933
3,6,sample 3 replicate 6,44,2.5,2.15,1.0039,86.0,39.3378
4,6,sample 4 replicate 6,1,2.5,0.0,0.023,0.0,0.9013
4,6,sample 4 replicate 6,2,2.5,0.05,0.0334,2.0,1.3088
4,6,sample 4 replicate 6,3,2.5,0.1,0.048,4.0,1.8809
4,6,sample 4 replicate 6,4,2.5,0.15,0.073,6.0,2.8605
4,6,sample 4 replicate 6,5,2.5,0.2,0.0877,8.0,3.4365
4,6,sample 4 replicate 6,6,2.5,0.25,0.1064,10.0,4.1693
4,6,sample 4 replicate 6,7,2.5,0.3,0.1273,12.0,4.9882
4,6,sample 4 replicate 6,8,2.5,0.35,0.1377,14.0,5.3958
4,6,sample 4 replicate 6,9,2.5,0.4,0.1524,16.0,5.9718
4,6,sample 4 replicate 6,10,2.5,0.45,0.1607,18.0,6.297
4,6,sample 4 replicate 6,11,2.5,0.5,0.1649,20.0,6.4616
4,6,sample 4 replicate 6,12,2.5,0.55,0.1753,22.0,6.8691
4,6,sample 4 replicate 6,13,2.5,0.6,0.1899,24.0,7.4412
4,6,sample 4 replicate 6,14,2.5,0.65,0.2212,26.0,8.6677
4,6,sample 4 replicate 6,15,2.5,0.7,0.2504,28.0,9.8119
4,6,sample 4 replicate 6,16,2.5,0.75,0.2609,30.0,10.2234
4,6,sample 4 replicate 6,17,2.5,0.8,0.2713,32.0,10.6309
4,6,sample 4 replicate 6,18,2.5,0.85,0.2859,34.0,11.203
4,6,sample 4 replicate 6,19,2.5,0.9,0.2922,36.0,11.4498
4,6,sample 4 replicate 6,20,2.5,0.95,0.3026,38.0,11.8574
4,6,sample 4 replicate 6,21,2.5,1.0,0.3277,40.0,12.8409
4,6,sample 4 replicate 6,22,2.5,1.05,0.3819,42.0,14.9647
4,6,sample 4 replicate 6,23,2.5,1.1,0.4153,44.0,16.2735
4,6,sample 4 replicate 6,24,2.5,1.15,0.4299,46.0,16.8456
4,6,sample 4 replicate 6,25,2.5,1.2,0.4508,48.0,17.6646
4,6,sample 4 replicate 6,26,2.5,1.25,0.5238,50.0,20.5251
4,6,sample 4 replicate 6,27,2.5,1.3,0.5593,52.0,21.9161
4,6,sample 4 replicate 6,28,2.5,1.35,0.5739,54.0,22.4882
4,6,sample 4 replicate 6,29,2.5,1.4,0.6491,56.0,25.435
4,6,sample 4 replicate 6,30,2.5,1.45,0.6971,58.0,27.3158
4,6,sample 4 replicate 6,31,2.5,1.5,0.7743,60.0,30.3409
4,6,sample 4 replicate 6,32,2.5,1.55,0.8473,62.0,33.2014
4,6,sample 4 replicate 6,33,2.5,1.6,0.912,64.0,35.7367
4,6,sample 4 replicate 6,34,2.5,1.65,1.008,66.0,39.4984
4,6,sample 4 replicate 6,35,2.5,1.7,1.1207,68.0,43.9146
4,6,sample 4 replicate 6,36,2.5,1.75,1.2522,70.0,49.0674
4,6,sample 4 replicate 6,37,2.5,1.8,1.4004,72.0,54.8746
4,6,sample 4 replicate 6,38,2.5,1.85,1.5966,74.0,62.5627
4,6,sample 4 replicate 6,39,2.5,1.9,1.8491,76.0,72.4569
4,6,sample 4 replicate 6,40,2.5,1.95,2.1392,78.0,83.8245
4,6,sample 4 replicate 6,41,2.5,2.0,2.4919,80.0,97.645
4,6,sample 4 replicate 6,42,2.5,2.05,0.6511,82.0,25.5133
5,6,sample 5 replicate 6,1,2.5,0.0,0.0355,0.0,1.3911
5,6,sample 5 replicate 6,2,2.5,0.05,0.0522,2.0,2.0455
5,6,sample 5 replicate 6,3,2.5,0.1,0.0751,4.0,2.9428
5,6,sample 5 replicate 6,4,2.5,0.15,0.0981,6.0,3.844
5,6,sample 5 replicate 6,5,2.5,0.2,0.1169,8.0,4.5807
5,6,sample 5 replicate 6,6,2.5,0.25,0.1294,10.0,5.0705
5,6,sample 5 replicate 6,7,2.5,0.3,0.144,12.0,5.6426
5,6,sample 5 replicate 6,8,2.5,0.35,0.1524,14.0,5.9718
5,6,sample 5 replicate 6,9,2.5,0.4,0.1607,16.0,6.297
5,6,sample 5 replicate 6,10,2.5,0.45,0.169,18.0,6.6223
5,6,sample 5 replicate 6,11,2.5,0.5,0.1795,20.0,7.0337
5,6,sample 5 replicate 6,12,2.5,0.55,0.1983,22.0,7.7704
5,6,sample 5 replicate 6,13,2.5,0.6,0.217,24.0,8.5031
5,6,sample 5 replicate 6,14,2.5,0.65,0.24,26.0,9.4044
5,6,sample 5 replicate 6,15,2.5,0.7,0.2609,28.0,10.2234
5,6,sample 5 replicate 6,16,2.5,0.75,0.2713,30.0,10.6309
5,6,sample 5 replicate 6,17,2.5,0.8,0.2859,32.0,11.203
5,6,sample 5 replicate 6,18,2.5,0.85,0.2964,34.0,11.6144
5,6,sample 5 replicate 6,19,2.5,0.9,0.3068,36.0,12.0219
5,6,sample 5 replicate 6,20,2.5,0.95,0.336,38.0,13.1661
5,6,sample 5 replicate 6,21,2.5,1.0,0.3819,40.0,14.9647
5,6,sample 5 replicate 6,22,2.5,1.05,0.4153,42.0,16.2735
5,6,sample 5 replicate 6,23,2.5,1.1,0.4299,44.0,16.8456
5,6,sample 5 replicate 6,24,2.5,1.15,0.4571,46.0,17.9114
5,6,sample 5 replicate 6,25,2.5,1.2,0.5218,48.0,20.4467
5,6,sample 5 replicate 6,26,2.5,1.25,0.5531,50.0,21.6732
5,6,sample 5 replicate 6,27,2.5,1.3,0.5864,52.0,22.9781
5,6,sample 5 replicate 6,28,2.5,1.35,0.672,54.0,26.3323
5,6,sample 5 replicate 6,29,2.5,1.4,0.6992,56.0,27.3981
5,6,sample 5 replicate 6,30,2.5,1.45,0.7972,58.0,31.2382
5,6,sample 5 replicate 6,31,2.5,1.5,0.8494,60.0,33.2837
5,6,sample 5 replicate 6,32,2.5,1.55,0.8765,62.0,34.3456
5,6,sample 5 replicate 6,33,2.5,1.6,0.9433,64.0,36.9632
5,6,sample 5 replicate 6,34,2.5,1.65,1.031,66.0,40.3997
5,6,sample 5 replicate 6,35,2.5,1.7,1.0039,68.0,39.3378
5,6,sample 5 replicate 6,36,2.5,1.75,0.6762,70.0,26.4969
5,6,sample 5 replicate 6,37,2.5,1.8,0.2713,72.0,10.6309
