sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,1,sample 1 replicate 1,1,1.0999999999999979,0.0,0.0417,0.0,0.1634
1,1,sample 1 replicate 1,2,1.0999999999999979,0.05,0.048,4.5455,0.1881
1,1,sample 1 replicate 1,3,1.0999999999999979,0.1,0.0501,9.0909,0.1963
1,1,sample 1 replicate 1,4,1.0999999999999979,0.15,0.0522,13.6364,0.2045
1,1,sample 1 replicate 1,5,1.0999999999999979,0.2,0.0584,18.1818,0.2288
1,1,sample 1 replicate 1,6,1.0999999999999979,0.25,0.0647,22.7273,0.2535
1,1,sample 1 replicate 1,7,1.0999999999999979,0.3,0.071,27.2727,0.2782
1,1,sample 1 replicate 1,8,1.0999999999999979,0.35,0.0689,31.8182,0.27
1,1,sample 1 replicate 1,9,1.0999999999999979,0.4,0.0751,36.3636,0.2943
1,1,sample 1 replicate 1,10,1.0999999999999979,0.45,0.0835,40.9091,0.3272
1,1,sample 1 replicate 1,11,1.0999999999999979,0.5,0.0877,45.4545,0.3437
1,1,sample 1 replicate 1,12,1.0999999999999979,0.55,0.1023,50.0,0.4009
1,1,sample 1 replicate 1,13,1.0999999999999979,0.6,0.1106,54.5455,0.4334
1,1,sample 1 replicate 1,14,1.0999999999999979,0.65,0.1649,59.0909,0.6462
1,1,sample 1 replicate 1,15,1.0999999999999979,0.7,0.1983,63.6364,0.777
1,1,sample 1 replicate 1,16,1.0999999999999979,0.75,0.215,68.1818,0.8425
1,1,sample 1 replicate 1,17,1.0999999999999979,0.8,0.2984,72.7273,1.1693
1,1,sample 1 replicate 1,18,1.0999999999999979,0.85,0.3485,77.2727,1.3656
1,1,sample 1 replicate 1,19,1.0999999999999979,0.9,0.4508,81.8182,1.7665
1,1,sample 1 replicate 1,20,1.0999999999999979,0.95,0.6094,86.3636,2.3879
1,1,sample 1 replicate 1,21,1.0999999999999979,1.0,0.8932,90.9091,3.5
1,1,sample 1 replicate 1,22,1.0999999999999979,1.05,1.2981,95.4545,5.0866
1,1,sample 1 replicate 1,23,1.0999999999999979,1.1,0.96,100.0,3.7618
1,1,sample 1 replicate 1,24,1.0999999999999979,1.15,0.9934,104.5455,3.8926
1,1,sample 1 replicate 1,25,1.0999999999999979,1.2,1.6049,109.0909,6.2888
1,1,sample 1 replicate 1,26,1.0999999999999979,1.25,2.4648,113.6364,9.6583
2,1,sample 2 replicate 1,1,1.25,0.0,0.0438,0.0,0.1716
2,1,sample 2 replicate 1,2,1.25,0.05,0.0522,4.0,0.2045
