sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
4,8,sample 4 replicate 8,1,0.6500000000000021,0.0,0.0396,0.0,0.1552
4,8,sample 4 replicate 8,2,0.6500000000000021,0.05,0.048,7.6923,0.1881
4,8,sample 4 replicate 8,3,0.6500000000000021,0.1,0.0501,15.3846,0.1963
4,8,sample 4 replicate 8,4,0.6500000000000021,0.15,0.0584,23.0769,0.2288
4,8,sample 4 replicate 8,5,0.6500000000000021,0.2,0.0605,30.7692,0.2371
4,8,sample 4 replicate 8,6,0.6500000000000021,0.25,0.0647,38.4615,0.2535
4,8,sample 4 replicate 8,7,0.6500000000000021,0.3,0.071,46.1538,0.2782
4,8,sample 4 replicate 8,8,0.6500000000000021,0.35,0.1023,53.8462,0.4009
4,8,sample 4 replicate 8,9,0.6500000000000021,0.4,0.1461,61.5385,0.5725
4,8,sample 4 replicate 8,10,0.6500000000000021,0.45,0.1774,69.2308,0.6951
4,8,sample 4 replicate 8,11,0.6500000000000021,0.5,0.2317,76.9231,0.9079
4,8,sample 4 replicate 8,12,0.6500000000000021,0.55,0.3193,84.6154,1.2512
4,8,sample 4 replicate 8,13,0.6500000000000021,0.6,0.4404,92.3077,1.7257
4,8,sample 4 replicate 8,14,0.6500000000000021,0.65,0.6824,100.0,2.674
4,8,sample 4 replicate 8,15,0.6500000000000021,0.7,1.0226,107.6923,4.0071
4,8,sample 4 replicate 8,16,0.6500000000000021,0.75,1.6425,115.3846,6.4361
4,8,sample 4 replicate 8,17,0.6500000000000021,0.8,2.3646,123.0769,9.2657
5,8,sample 5 replicate 8,1,0.6500000000000021,0.0,0.0313,0.0,0.1226
5,8,sample 5 replicate 8,2,0.6500000000000021,0.05,0.0376,7.6923,0.1473
5,8,sample 5 replicate 8,3,0.6500000000000021,0.1,0.0459,15.3846,0.1799
5,8,sample 5 replicate 8,4,0.6500000000000021,0.15,0.0543,23.0769,0.2128
5,8,sample 5 replicate 8,5,0.6500000000000021,0.2,0.0605,30.7692,0.2371
5,8,sample 5 replicate 8,6,0.6500000000000021,0.25,0.071,38.4615,0.2782
5,8,sample 5 replicate 8,7,0.6500000000000021,0.3,0.119,46.1538,0.4663
5,8,sample 5 replicate 8,8,0.6500000000000021,0.35,0.1482,53.8462,0.5807
5,8,sample 5 replicate 8,9,0.6500000000000021,0.4,0.1711,61.5385,0.6705
5,8,sample 5 replicate 8,10,0.6500000000000021,0.45,0.1983,69.2308,0.777
5,8,sample 5 replicate 8,11,0.6500000000000021,0.5,0.2713,76.9231,1.0631
5,8,sample 5 replicate 8,12,0.6500000000000021,0.55,0.336,84.6154,1.3166
5,8,sample 5 replicate 8,13,0.6500000000000021,0.6,0.4529,92.3077,1.7747
5,8,sample 5 replicate 8,14,0.6500000000000021,0.65,0.7075,100.0,2.7723
5,8,sample 5 replicate 8,15,0.6500000000000021,0.7,1.175,107.6923,4.6042
5,8,sample 5 replicate 8,16,0.6500000000000021,0.75,1.8825,115.3846,7.3766
5,8,sample 5 replicate 8,17,0.6500000000000021,0.8,1.7844,123.0769,6.9922
5,8,sample 5 replicate 8,18,0.6500000000000021,0.85,2.7924,130.7692,10.942
6,8,sample 6 replicate 8,1,0.6500000000000021,0.0,0.0355,0.0,0.1391
6,8,sample 6 replicate 8,2,0.6500000000000021,0.05,0.0438,7.6923,0.1716
6,8,sample 6 replicate 8,3,0.6500000000000021,0.1,0.048,15.3846,0.1881
6,8,sample 6 replicate 8,4,0.6500000000000021,0.15,0.0543,23.0769,0.2128
6,8,sample 6 replicate 8,5,0.6500000000000021,0.2,0.0564,30.7692,0.221
6,8,sample 6 replicate 8,6,0.6500000000000021,0.25,0.0626,38.4615,0.2453
6,8,sample 6 replicate 8,7,0.6500000000000021,0.3,0.0918,46.1538,0.3597
6,8,sample 6 replicate 8,8,0.6500000000000021,0.35,0.1377,53.8462,0.5396
6,8,sample 6 replicate 8,9,0.6500000000000021,0.4,0.1732,61.5385,0.6787
6,8,sample 6 replicate 8,10,0.6500000000000021,0.45,0.2066,69.2308,0.8096
6,8,sample 6 replicate 8,11,0.6500000000000021,0.5,0.3005,76.9231,1.1775
6,8,sample 6 replicate 8,12,0.6500000000000021,0.55,0.4007,84.6154,1.5701
6,8,sample 6 replicate 8,13,0.6500000000000021,0.6,0.5781,92.3077,2.2653
6,8,sample 6 replicate 8,14,0.6500000000000021,0.65,0.9412,100.0,3.6881
6,8,sample 6 replicate 8,15,0.6500000000000021,0.7,1.4609,107.6923,5.7245
6,8,sample 6 replicate 8,16,0.6500000000000021,0.75,1.3524,115.3846,5.2994
6,8,sample 6 replicate 8,17,0.6500000000000021,0.8,2.2644,123.0769,8.873
