sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,3,sample 1 replicate 3,1,1.75,0.0,0.0438,0.0,0.1716
1,3,sample 1 replicate 3,2,1.75,0.05,0.0459,2.8571,0.1799
1,3,sample 1 replicate 3,3,1.75,0.1,0.0501,5.7143,0.1963
1,3,sample 1 replicate 3,4,1.75,0.15,0.0543,8.5714,0.2128
1,3,sample 1 replicate 3,5,1.75,0.2,0.0543,11.4286,0.2128
1,3,sample 1 replicate 3,6,1.75,0.25,0.0564,14.2857,0.221
1,3,sample 1 replicate 3,7,1.75,0.3,0.0626,17.1429,0.2453
1,3,sample 1 replicate 3,8,1.75,0.35,0.0626,20.0,0.2453
1,3,sample 1 replicate 3,9,1.75,0.4,0.0689,22.8571,0.27
1,3,sample 1 replicate 3,10,1.75,0.45,0.0689,25.7143,0.27
1,3,sample 1 replicate 3,11,1.75,0.5,0.0981,28.5714,0.3844
1,3,sample 1 replicate 3,12,1.75,0.55,0.1169,31.4286,0.4581
1,3,sample 1 replicate 3,13,1.75,0.6,0.1127,34.2857,0.4416
1,3,sample 1 replicate 3,14,1.75,0.65,0.1273,37.1429,0.4988
1,3,sample 1 replicate 3,15,1.75,0.7,0.1419,40.0,0.556
1,3,sample 1 replicate 3,16,1.75,0.75,0.1461,42.8571,0.5725
1,3,sample 1 replicate 3,17,1.75,0.8,0.1586,45.7143,0.6215
1,3,sample 1 replicate 3,18,1.75,0.85,0.169,48.5714,0.6622
1,3,sample 1 replicate 3,19,1.75,0.9,0.1774,51.4286,0.6951
1,3,sample 1 replicate 3,20,1.75,0.95,0.192,54.2857,0.7524
1,3,sample 1 replicate 3,21,1.75,1.0,0.2108,57.1429,0.826
1,3,sample 1 replicate 3,22,1.75,1.05,0.2692,60.0,1.0549
1,3,sample 1 replicate 3,23,1.75,1.1,0.2964,62.8571,1.1614
1,3,sample 1 replicate 3,24,1.75,1.15,0.3235,65.7143,1.2676
1,3,sample 1 replicate 3,25,1.75,1.2,0.3277,68.5714,1.2841
1,3,sample 1 replicate 3,26,1.75,1.25,0.4216,71.4286,1.652
1,3,sample 1 replicate 3,27,1.75,1.3,0.5176,74.2857,2.0282
1,3,sample 1 replicate 3,28,1.75,1.35,0.599,77.1429,2.3472
1,3,sample 1 replicate 3,29,1.75,1.4,0.7513,80.0,2.944
1,3,sample 1 replicate 3,30,1.75,1.45,0.9287,82.8571,3.6391
1,3,sample 1 replicate 3,31,1.75,1.5,1.2146,85.7143,4.7594
1,3,sample 1 replicate 3,32,1.75,1.55,1.607,88.5714,6.297
1,3,sample 1 replicate 3,33,1.75,1.6,2.1246,91.4286,8.3252
2,3,sample 2 replicate 3,1,1.75,0.0,0.048,0.0,0.1881
2,3,sample 2 replicate 3,2,1.75,0.05,0.048,2.8571,0.1881
2,3,sample 2 replicate 3,3,1.75,0.1,0.0522,5.7143,0.2045
